آئروژینوزا 33,33,33,33,33,33,33,33,33,33
آموخته 15,16
آموزان 25
آموزش 11,11,11,11,14,15,25,27,27,27,28,31,31,35,35,35,35,42,43,50,50,50,50,50,50,52,52,52,52,52,52,52,52,52,52,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53
آموزشی 11,11,16,16,16,18,35,35,35,35,53,53,53,53,53,53,53,53
آموزگار 53
آمیبی 7
آمیزش 18,57,57,57,57,57
آمیزشی 15,27,53,57,57,57
آمیلوئید 28
آمیناز 33
آمینو 58
آمیکاسین 33
آناتومی 25
آناتومیک 53
آنالیز 28,53,53,53
آنالیزهای 53
آنان 18,28,28,28,28,28,28,28,28,28,28,28,35,35,42,43,43,49,49,49,51
آناهیتا 21,21
آناژن 10
آنترال 7,7
آنتن 20,20
آنتی 30,33,39,60,7,9
آنجا 10,16,28,28,28,31,33,52,53,53,56,56
آنجایی 31,53
آنزیم 28,30,7,7
آنزیمی 12
آنسو 58
آنفلوآنزای 53
آنهایی 52
آنوفل 20
آنچه 1,13,20,53,53,53,56,58
آنکه 28,28,28,28,53
آنگاه 36
آنگلیسی 8
آهسته 58
آوئرباخ 26
آواز 21
آوانگارد 55
آورتا 55
آورد 30,44
آوردن 11,16,17,28,28,28,30,60
آورده 28,31,33
آوری 15,15,50,60
آوریل 11,20,23,24,25,25,28,28,32,32,38,38,49,51,53,53,53,56,57
آویز 17
آویزان 12,18,34
آپاتیت 23,23
آژانس 50
آکادمی 52
آکادمیک 35,60
آکانتولیتیک 10,10
آکسفورد 33
آگار 33,33
آگاه 11,15
آگاهی 28,28,38,53,53
آگرومگالی 28
آگوست 55,55
آیات 15
آیتم 1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,7,8,9
آیند 7
آینده 18,31,31,31
آیندهٔ 18,28
آینه 17,17
آیین 24
ائوزین 33
ابتدا 18,25,28,28,28,35,39,42,53
ابتدای 11,18,25,28,31
ابتدایی 10,20,20,28
ابتداییِ 27
ابتلا 10,11,11,11,11,13,14,14,16,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,31,31,31,31,31,31,31,37,37,57,57,57
ابتلای 28,28,42
ابداع 15,16,46,53,57
ابراز 53
ابرانسان 53
ابری 36
ابریشمی 57
ابزار 22,28,30,41,41,57
ابزارهای 30,35,53,53
ابعاد 31
ابعادی 11,11
ابلاغ 43
ابوطالب 25
اتاق 17,17,17,17,17,18,18,18,18,18,18,18,18,21,21,21,27,27,27,30,30,52,52,52,52,54
اتاقهای 3
اتاقک 17,17,21
اتاقی 18,21
اتحادیهٔ 23
اتخاذ 53
اتریش 25,36
اتصال 30
اتفاق 1,28,28,28,28,28,28,58
اتفاقی 28
اتمام 28,34,9
اتمسفر 28,28
اتمی 58
اتوایمیون 28
اتوزومال 28
اتوکلاو 30,30,30,30
اتیلن 23,30,36
اتیولوژی 28,28
اتیوپی 57
اثبات 28,28,56,56
اثر_تصادفی 4
اثرات 23,28,28,56,60
اثربخشی 23,57,57
اثری 28,28,28,4
اجابت 54,7
اجارهٔ 18
اجازه 1,28,31,58
اجازهٔ 18,18
اجباری 1,10,11,12,13,14,15,16,17,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,53,53,54,55,56,57,58,59,6,60,7,8,9
اجتماع 53
اجتماعی 11,13,15,15,16,17,31,31,31,35,43,43,49,49,5,5,50,50,52,53,53,53,6
اجتماعیٔ 31
اجتناب 1,25,6
اجرا 35,43,52,53,58
اجرام 36
اجرای 30,30,30,35,35,35,35,35,35,43,43,53
اجرایی 43,50,50,50,50,50,50,50,50
اجزا 53
اجزاء 23,30,53,53
اجزای 18,8
اجسام 30,57
اجماع 11,11
احاطه 20,8
احترام 18
احتمال 14,14,14,14,14,28,28,28,28,28,28,28,28,37,37,4,42,42,42,42,42,53,57,57,57,57,57,57,57,6,9
احتمالاً 28,28,28,31,46,53,53,57
احتمالی 18,28,28,31
احتیاج 16,25
احتیاجات 16
احداث 56,58
احدی 46,46,9
احساس 13,28,28,57,8
احشا 44
احمد 21,53
احکام 49,49
احیا 25,58
احیای 23,52
اختراع 15,17,23,23,23,53
اختصاص 25,25,27,27
اختصاصاً 6
اختصاصی 11,19,21,28,28,28,28,28,28,28,3,53
اختلاف 28,52
اختلال 12,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,43,5,57,6
اختلالات 13,13,16,28,28,28,28,28,28,28,28,28,28,28,28,35,35,35,35,35,35,43,6
اختلالاتِ 13,13
اختلالاتی 16
اختلالهای_مرتبط_با_مصرف_مواد 5
اختلالِ 5
اختیار 18,18,18,25,28,28,49
اختیارات 25
اختیارشان 57
اختیاری 1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,53,54,55,56,57,58,59,6,60,7,8,9
اخلاط 53
اخلاق 13,13,53,53,53,53,53,53,53,53,53,53
اخلاقی 42,53
اخلاقیات 31
اخیر 1,1,10,10,11,11,12,12,13,13,14,14,15,15,15,16,16,17,17,18,18,19,19,2,2,20,20,21,21,22,22,23,23,24,24,25,25,25,26,26,27,27,27,28,28,28,28,28,28,28,29,29,3,3,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,4,4,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,5,5,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,59,59,6,6,60,60,60,60,60,60,7,7,7,8,8,9,9
اخیراً 16,28,28,53
ادارات 18,25,25,25,25
اداره 19,25,25,25,25,28,30,49,49,49,50
اداری 17,18,22,27
ادامه 16,25,25,25,25,27,28,28,28,28,28,35,46,46,53,7,7,7
ادبی 32,46
ادبیات 15,55
ادرار 17,17,17,17,18,18,18,18,18,18,18,18,18,18,26,26,26,26,28,28,28,28,34,34,34,34,53,54,54,54,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
ادرار_کردن 6
ادرارشان 18
ادراری 15,15,23,27,27,28,33,53,53,53,6,6,6
ادعا 17,18,28,28,31,39,46,46,49,49,49,49,49,56,56,56,57,57,57
ادغام 57
ادموند 53
ادوین 15,15,53
ادویه 9
ادیان 24,53
ادیولوژیک 35,35
ادیومتری 35
اذیت 43,43
ارائه 15,27,27,28,28,28,35,35,35,35,35,35,35,35,42,49,52,52,52,52,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,56
ارائهٔ 13
ارابه 11
اراده 15,53
اراسیستراتوس 53
اراضی 50
ارامش 16
اراک 21,21
ارایه 11
ارایهٔ 16,27,41
ارتباط 14,15,16,18,18,20,20,28,28,28,28,28,28,33,35,35,35,49,57,57,6
ارتباطات 11,16,16,18,53,53,53
ارتباطی 21,28,35,35,35,35,42,43,53
ارتز 8,8
ارتش 25,25,25,25,50,50,52,57
ارتفاع 17,17,18,56,60,60
ارتقا 58
ارتقاء 31,53,53
ارتقای 11,11,11,11,52
ارتودنتیست 46
ارتودنسی 10,46,46,46
ارتوپدی 52,52,53
ارثی 10,10,28,42,42,42,42,7
ارجاع 16,26,26,27,27,28,28,3,3,35,41,41,42,42,42,46,47,47,48,48,52,52,53,53,53,53,53,53,53,53,53,53,53,53
ارجاعات 17,28,28,31,39,46,46,49,49,49,49,49,56,56,56,57,57,57
ارجمند 25
اردبیل 56
اردیبهشت 43,43,43,43
ارزان 1,57,57
ارزش 16,25,25,28,49,49,49,57
ارزشمندی 31
ارزشیابی 11
ارزنده 25
ارزیابی 28,28,35,35,35,35,35,35,35,53,53,53
ارسال 18,8
ارشد 15,15,15,27,27,27,52,52,52,53,53,53
ارغوانی 38
ارقام 52
ارلن 30
ارنست 15,15
ارور 15
ارومیه 25,25,25,52
اروپا 11,15,15,18,18,18,18,23,28,35,53,57,58
اروپائی 23
اروپای 15,16
اروپایی 11,11,18,21,27,28,40,57
ارکان 31,53
ارگاسم 57
ارگانسیم 33
ارگانهای 53
ارگانوژنز 28
ارگانیسم 10,16
ارگانیک 13
ارگونومیکی 11
ازای 18,46,52
ازتمامی 16
ازجمله 17,18,18,18,39
ازجملهٔ 18
ازخوردن 16
ازدست 28
ازدواج 35,42,42,42,42,42
ازدیاد 28
ازلحاظ 18
ازنظر 18,18,39
ازچند 20
ازین 42
اساس 11,11,16,16,28,28,28,28,28,30,34,42,49,49,49,53,53,53
اساسی 21,24,31,33,33,50
اسانس 9
اسبان 25,25
اسبه 15,15
استاتیک 51
استاد 15,17
استادان 28
استان 25,25,25,25,56
استاندار 15,53
استاندارد 11,15,18,18,18,18,18,23,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,40,41,41,49,52,52,52,53,53,53,53,53,53,53,53,53,53,53,56,57,57,57,57,60,7,8,8,9
استانداردهای 1,30,52,57
استحمام 11,11,11,11,11,21,22
استحکام 32,8,8
استخدام 25,35,52,52
استخراج 28,28,32,56,56,60
استخرهای 56
استخوان 15,28,28,28,28,28,31,31,33,47,47,57
استدلال 28,53,53
استراحت 11,17,18,21,26,31,31,32,34,6
استرالیا 35,36,52
استرس 10,13,28,28,28,31,31,31
استریل 30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
استریلیزاسون 30
استریلیزاسیون 30,30,30,30,30,30
استریلیزه 30
استعداد 28,43
استعدادهای 43
استعماری 50
استعمال 12,14,28
استفاده 1,1,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,12,13,14,14,14,15,15,15,15,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,2,20,20,20,21,21,21,21,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,25,25,25,26,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,3,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,32,32,32,32,32,32,32,33,33,33,34,34,35,35,35,35,36,36,36,37,38,39,39,39,39,39,39,39,4,40,41,41,41,41,42,43,43,44,44,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,47,47,47,47,48,49,5,50,51,51,52,52,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,54,54,54,54,54,54,54,54,55,55,56,56,56,56,56,56,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,58,58,58,58,58,58,58,58,58,58,58,59,6,60,60,60,60,7,7,7,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9
استفادهٔ 17,18,18,18,18,18,18,18,57
استقامتی 28
استقبال 57
استقرار 18
استقلال 43
استو 20
استوار 11
استوایی 57
استون 55
استوژنیک 58
استپانیان 27
استیا 20
استیله 30,30
استیناف 50
اسرار 15
اسفند 21,43,54
اسفنکتر 6,7,7
اسقلبیوس 53
اسلام 11,15,15,25,25,28,41,49,49,49,49,53,53,53
اسلامی 1,1,17,18,18,21,21,21,25,25,26,34,43,43,49,49,52,53,53,57,6
اسلحه 8
اسموتیک 7,7,7
اسمولاریتهٔ 7
اسمیت 15,15,53
اسناد 25
اسنو 11,40
اسهال 7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
اسپانیایی 50
اسپرم 57,57,57
اسپری 23
اسپرینگ 15
اسپور 30
اسپیراکل 20,20
اسکاپ 20
اسکلت 8
اسکلتی 28
اسکلروزان 7,7
اسکلروسوس 10
اسکن 44
اسکیت 54
اسکیزوفرنی 13
اسید 16,44,44,44,58,7
اسیدهای 30
اسیدوز 28,28
اسیدی 10,10,58
اشاره 11,11,18,18,18,22,25,25,28,28,32,35,35,39,45,46,53,56,57,57,57,8
اشباع 28,28,53
اشتباه 10,12,18,28
اشتر 21
اشتراکی 21
اشتغال 35
اشتهای 16,28
اشتومپ 27
اشخاصی 43
اشعه 20,36,36
اشغال 18
اشمیت 57
اشپیگل 7
اشکال 20,53
اشکالات 46
اشکی 10,10
اشیاء 30,34
اشیای 30,30,30
اشیایی 30
اصابت 46
اصطلاح 11,16,21,28,39,51
اصطلاحات 60
اصطلاحاً 54
اصفهان 58,58
اصلاح 1,17,17,24,24,53,9
اصلی 1,10,11,11,12,13,14,15,15,15,16,16,17,17,18,19,2,20,20,20,21,21,21,21,22,23,23,23,23,24,25,26,27,28,28,28,28,28,28,28,28,28,28,28,28,28,29,3,30,31,32,33,33,34,35,35,36,37,38,39,4,40,41,41,42,43,44,45,46,47,48,49,49,5,50,51,52,53,53,53,53,53,53,53,53,53,53,54,55,56,57,57,57,58,58,59,6,60,60,7,7,8,9,9
اصول 11,16,16,16,16,19,31,52,52,53,53,54
اصولی 11
اصیل 44
اضافه 15,18,18,23,28,28,31,57
اضافی 7
اضطراب 13,13,13,31,9
اضطرار 1
اضطراری 17,57
اطراف 17,17,18,18,18,21,21,28,28,9,9
اطرافیان 31,31,31,31
اطرافیانش 31
اطفال 16,16,53,53,53,53
اطلاع 25,25,3,42,52
اطلاعات 1,10,10,11,11,11,12,13,14,15,15,15,16,16,16,16,16,17,18,18,18,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,50,50,51,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,55,56,57,58,59,6,60,7,8,8,8,9
اطلاعاتی 15,25,50,53,53
اطلاق 18,53
اطلس 50
اطمینان 30,30,53,57
اظهار 15
اعتبار 28,28
اعتراض 23
اعتقاد 18,28,52,56
اعتقادات 11,11
اعتقاددارند 52
اعتقادی 28
اعتماد 15,16,28,46,53,9
اعتمادسازی 53
اعتیاد 14,53
اعدام 50
اعزام 25
اعصاب 11,13,13,16,16,28,28,28,28,35,53,53,53,57,57
اعضا 12,28,28
اعضاء 20,20,53
اعضای 11,28,28,28,31,31,31,31,31,42,43,8,8
اعطا 52
اعظم 49
اعلام 18,18,21,23,27,28,28,28,57,57
اعمال 11,15,20,28,28
اغلب 10,10,10,11,18,18,18,21,28,28,28,33,44,54,56,57,9,9
اغما 28
افتاد 11
افتادن 28,44
افتاده 9
افتتاح 25
افتخارات 53
افتراق 15
افتراقی 53
افراد 1,11,11,12,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,21,24,25,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,3,3,3,31,31,33,33,33,35,35,35,35,35,35,35,40,41,42,42,42,43,43,43,43,43,43,43,43,43,43,43,52,53,53,53,53,53,54,57,57,57,57,58,7,7,7,8,8,8,8,9,9,9,9,9
افرادی 17,18,24,27,27,27,27,27,28,28,28,28,28,28,28,28,28,3,31,33,42,54,57,57
افراط 9,9
افروختن 21,21
افزایش 10,11,13,14,14,16,16,16,16,16,16,16,16,17,18,18,18,18,18,2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,31,31,35,35,37,41,46,49,49,51,52,52,52,57,57,57,58,58,58,6,6,60,60,60,60,7,9,9
افزایی 23
افزودن 23,52,54,57
افزودنی 25,60
افزوده 23,57,58,8
افسر 25
افسران 25
افسردگی 13,13,16,28,28,31,47,49,57,9
افشاندن 58
افشانک 18,18,18,18,18,18,18
افشانکی 18
افعال 12
افغانستان 50
افقی 20,25,60
افلاطونی 24
افلوویوم 10
افکار 53
اقامت 3
اقبال 28
اقتباس 58
اقتصاد 49,56
اقتصادی 31,31,43,49,50,53
اقدام 11,18,25,42,46
اقدامات 11,11,11,28,35,35,35,35,43,43
اقداماتی 11,11
اقشار 8
اقلام 25
اقلیت 21
اقوام 15
اقیانوس 50
اقیانوسی 50
اقیانوسیه 35
الإنسانية 50
الاثر 30
الاستیک 8
البته 12,21,28,31,31,31,35,7
التحصیل 25
التهاب 10,10,33,9
التهابی 38,38,47,51,57,57,7,7
التیام 28
الحاوی 53
الزام 52
الزامات 52
الزامی 28,28,54,57
الزایمر 28,28
الصحة 50
الصحية 14
الطیف 30
العلاج 16
العمود 44
الفبا 57
الماس 41
المان 28
المبيضات 10
المياه 36
النهرین 15
الهضم 16
الههٔ 11
الهی 15
الومینیوم 8
الکترواکتیو 8
الکترونی 33
الکترونیکی 17,18,18,26,28,34,42,53,53,53,53,6,8,8
الکتریک 8
الکتریکی 41,41,41,7,8,8
الکل 10,28,30
الکلی 10,28,7
الگو 1,1,10,10,11,11,11,11,12,12,13,13,14,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,18,18,2,2,20,20,21,21,21,21,21,23,23,24,24,24,24,24,26,26,26,26,26,26,27,27,27,28,28,28,28,32,33,33,33,33,34,34,34,34,36,36,40,40,40,41,42,42,43,43,43,44,44,46,47,47,50,50,50,50,50,50,50,52,52,52,53,53,53,53,53,53,54,54,54,54,54,55,55,55,57,57,57,57,57,57,57,58,58,58,58,58,58,59,6,6,7,7,7,7,7,7,8,8,8,8
الگوریتمی 53
الگوهای 11,11,11,22,34,34,34,6,6,6
الگوی 18,18,18,18,18,18,18,18,18,18,18,18,24,24,28,28,28,28,28,28,32,46,46,46,49,49,49,5,5,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,58,58,60,60,60,7,7,7,8,8
الیاف 22,24,47,8,8,8
الیگومرهایی 28
امارات 52
امان 28
اماکن 18,18,3
امتحان 53,53
امراض 14
امروز 49,8
امروزه 13,16,18,18,18,21,24,27,28,28,31,32,35,44,52,53,53,53,53,57,6,60,8
امروزی 47,47
امریکا 35,60
امریکایی 8
امساک 16
امضای 55
املا 16
املاح 1,20,30,56,56,56,56,56
امنی 11
امنیت 11,31,50,50,50,50,50,50,50,50,50
امواج 8
امور 25,25,25,27,27,28,28,31,49,49,49,49,49,50,50,50,50,50,50,51,53,53,53,56
امورخارجه 50
اموری 49
امکان 1,10,11,12,13,14,15,16,16,16,17,17,17,18,18,18,18,18,18,18,18,18,19,2,2,20,21,22,23,24,25,26,27,28,29,3,30,30,31,31,32,33,34,35,35,36,37,38,39,4,40,41,42,43,44,45,46,46,47,48,49,5,50,51,52,53,53,53,54,55,56,57,57,57,58,58,59,6,60,7,8,9
امکانات 16,17,17,18,18,18,18,18,18,18,18,18,18,3,53
امکاناتی 17,18,18
امکانِ 18
امکانپذیر 57
امید 17,28,53
امیر 21
امیرهوشنگ 40
امیل 53
امین 60
انار 28
انبار 1,1,1,12,12,18,18,18,21,43,43,43,8,8,8
انباشت 18,58,58
انباشته 28
انبرک 59
انتخاب 15,15,16,17,17,23,23,25,25,25,25,27,28,28,28,28,46,53,53,53,53,57,57
انتخاباتی 50
انتخابی 28,57,57
انتشار 17
انتشارات 33,33,42,49,56
انتظار 15,18,28,49,53,55,55
انتظارات 28
انتظامی 35
انتقادات 53,53
انتقاداتی 53
انتقال 11,12,15,19,19,21,25,27,30,30,33,33,46,53,53,57,57,57,57,57,57,57,60,8,8
انتن 20
انتهای 28,57,9
انتهایی 28
انتگرال 15
انجام 1,10,11,11,11,12,13,14,15,15,16,16,16,17,17,18,19,2,2,20,20,21,21,22,22,23,23,24,24,25,25,25,25,25,26,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,3,30,30,30,31,31,31,31,31,32,33,33,34,35,35,35,35,36,37,38,39,4,40,41,42,42,42,42,42,42,42,42,42,42,43,44,44,44,44,45,46,47,48,49,49,49,49,49,5,50,51,52,53,53,53,53,53,53,53,53,54,54,55,56,57,58,58,58,58,58,58,58,58,58,58,58,59,6,6,6,6,6,60,7,8,8,9
انجامد 53
انجلس 18
انجمادی 17,18,26,34,6
انجمن 23,23,25,25,25,28,28,28,28,28,28,28,28,28,28,42,52,57,57
انجیر 16
انحصاری 28,35,49
انداختن 18
انداخته 18
اندازه 1,24,28,31,41,46,47
اندازهً 16
اندازی 50,50,56
اندام 16,20,20,28,31,31,57,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
اندام_ساختگی 8
اندامی 31
اندمیک 53
اندو 27
اندوجنوز 16
اندود 57
اندوه 12
اندوکراینی 28,28,28
اندوکرینولوژی 28,28,28,28
اندک 28,28,28
اندکی 44,57,58,7
اندیشه 15,15,42,56
انرا 28
انرژی 1,11,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,24,24,24,34,34,36,50,50,50,53,53,9
انزال 57,57
انزالی 57
انسان 1,11,14,14,15,15,15,15,15,16,16,16,16,17,18,18,18,20,20,22,25,25,25,26,26,28,28,34,39,39,39,48,53,6,8,8,8,8,8,8
انسانی 15,18,18,18,18,39,42,42,48,48,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,52,52,53,53,53,9
انسانیِ 18
انست 28,28,28
انسدادی 17,7,7
انسولین 28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
انسولینی 28,28
انشا 16
انطبا 13
انطباقی 13
انظار 57
انعطاف 8
انعقاد 1
انعقادی 12
انفجاری 13,13
انقباضات 20
انقراض 60
انقضاء 57
انقضای 57
انقلاب 50,53,53
انقلابی 53,57
انهاست 28
انواع 11,11,12,13,13,13,16,16,17,17,18,18,18,18,18,18,20,22,23,23,24,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,30,30,30,32,32,35,35,39,39,41,44,44,44,46,46,46,46,48,48,57,57,58,58,58,8,8,8
انگاشته 17
انگشت 28,28,46,46,46,47
انگشتان 14,28,46,46,46,46,46,46,46,7
انگل 25,53
انگلستان 56
انگلستانی 8
انگلند 50
انگلی 15
انگلیس 23,36
انگلیسی 14,15,15,18,18,18,18,24,25,28,28,31,52,53,53,54,60
انگور 16,24
اهالی 60
اهدا 53,53
اهداف 2,35,45
اهرم 34
اهمیت 16,17,17,18,18,20,20,20,20,25,25,28,28,28,28,28,31,31,31,31,31,31,31,31,31,31,35,49,53,53,56,56,60
اهواز 25,25
اوائل 52
اواخر 11,28,30,53,53,53,53,57,57
اوایل 28,28,44,46,53
اوبتوراتور 7
اوتوهیمه 18,18,18,18
اودی 7
اوره 33
اورولوژی 53
اورژانس 15,16,28,52
اورگانیسم 33
اورینتیشن 53
اوستا 15,15,25
اوستایی 15,53
اوستومی 52
اوسلری 53
اوسمولاریته 28
اوسمولاریتی 28
اوقات 18,18,18,18,18,6
اولاً 53
اولویت 31,7
اولِ 21
اولی 15
اولین 16,18,18,18,22,23,23,23,23,23,23,23,23,25,25,25,25,25,25,27,27,28,28,28,28,28,28,28,28,35,53,53,53,53,53,53,53,53,53,53,8,9
اولیه 15,15,15,15,23,23,25,27,27,28,28,28,28,28,28,31,52,53,53,53,53,53,53,53,53,53,53,53,57,58,7,7,8,8,8
اولیهٔ 31
اولیّن 18
اوماتید 20,20
اوماتیدی 20,20,20,20
اونسویی 18
اوژیلوه 7
اوکاموتو 57
اوکراین 38
اپتیک 11,16,16,53
اپسای 21
اپیتلیوم 28
اپیدمیولوژی 33,33,53
اپیدمیولوژیک 28,33,53
اپیدمیولوژیکی 28
