آئروژینوزا 33,33,33,33,33,33,33,33,33,33
اشپیگل 7
اشیاء 30,34
اشیای 30,30,30
اشیایی 30
اصلی 15,29,30,31,32,33,33,34,35,35,8
اصول 31
اضافه 31
اضطراب 13,13,31
اطرافیان 31,31,31,31
اطرافیانش 31
اطلاعات 29,30,31,32,33,34,35,8
اطمینان 30,30
اعتقاد 18
اعصاب 35
اعضای 31,31,31,31,31,8
اغلب 18,33
افراد 18,18,18,18,18,18,31,31,33,33,33,35,35,35,35,35,35,8
افرادی 18,31,33
افزایش 30,31,31,35
افسردگی 31
اقتصادی 31,31
اقدام 18
اقدامات 35,35,35,35
اقیانوسیه 35
الاثر 30
البته 31,31,31,35
التهاب 33
الطیف 30
الکترونی 33
الکترونیکی 18,34
الکل 30
الگو 1,1,15,15,15,15,15,15,15,28,28,28,28,32,33,33,33,33,34,34,34,34,7,7,7,7
الگوهای 34,34,34
الگوی 28,28,28,32,7,7
اماکن 18,3
امروزه 18,18,31,32,35,6
امریکا 35
امریکایی 8
املاح 30
امنیت 31
امور 31
امکان 18,29,30,30,31,31,32,33,34,35,35,4,8
انبار 12,8
انتخاب 15,15
انتشارات 33,33
انتقال 15,30,30,33,33
انتگرال 15
انجام 29,30,30,30,31,31,31,31,31,32,33,33,34,35,35,35,35,6,8,8
انجمادی 34
انحصاری 35
انداختن 18
انداخته 18
اندازه 31
اندام 31,31,8,8,8,8,8,8,8,8,8,8,8,8,8
اندام_ساختگی 8
اندامی 31
اندیشه 15,15
انرژی 1,18,18,34,34
انسان 15,15,15,28,34,8
انعقاد 1
انواع 30,30,30,30,32,32,35,35,8,8
انگشتان 7
انگلستانی 8
انگلیسی 15,18,28,28,31
اهداف 35
اهرم 34
اهمیت 18,31,31,31,31,31,31,31,31,31,31,35
اواخر 30
اوبتوراتور 7
اوتوهیمه 18,18,18
اوره 33
اورژانس 15
اورگانیسم 33
اوستا 15
اوستایی 15
اوقات 18,18
اولویت 31,7
اولین 35,8
اولیه 15,15,31,8,8
اولیهٔ 31
اپیدمیولوژی 33,33
اپیدمیولوژیک 33
اکتبر 12,30
اکتسابی 35
اکتشاف 15
اکتشافات 32
اکثر 31,8
اکسیدان 30
اکسیده 30
اکسیژن 30
اگزو 33,33
ایاز 33
ایالات 8,8
ایتالیا 8
ایجاد 15,18,18,18,30,31,31,33,33,33,35
ایران 15,15,15,35,35
ایروبیک 31
ایزو 34,34,34
ایزوپروپیل 30
ایفای 35
ایمن 30
ایمنی 12,30,30,33,33,33,33
ایمی 33
ایمیتانس 35
اینترنشنال 34
اینجا 31
ایندول 33
اینکه 18,18,18,31
بارداری 31,31,31,31
بارز 32
باروری 15,15,15
بازار 18
بازبینی 28
بازدارنده 30
بازسازی 8
بازنگری 35
بازکردن 30
بازگذاشتن 18
بازگرداندن 15
بازی 31,31
بازیابی 30
باستان 15,15,15,15
باسیلِ 33
باشد 18,30,30,31,31,31,31
باشند 31,31,8
باشید 32
باشیم 31,31
باعث 18,18,18,18,30,31,31,31
بافت 7
بافتهای 33
باقی 30
بالا 30,30,31,31,32,32,34,34
بالاتر 18,6
بالای 30,30,32
بالایی 31,31,31,32
بالقوه 31
بالینی 35
باند 30
باور 18
باکتری 18,30,30,30,30,33,33,33,33,33,33,33,33,33,33,33
باکتریال 7
باکتریایی 33,33,33
باکتریمی 33
باکتریواستاتیک 30
باکتریوسید 30
باکتریولوژی 30
باکتریولوژیک 33
باید 18,18,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31
بایستی 33
ببرد 31
بتوان 1
بتواند 30,32,8
بتوانند 31,31,31
بتوانیم 31
بحرانی 33
بخار 30
بخشی 8
بخصوص 33
بخواهد 31
بخواهند 31
بخواهیم 31
بدانیم 31
بدبو 7
بدخلقی 31
بدست 33
بدهند 31
بدون 1,18,18,28,3,31,31,33,7
بدین 30,32
برابر 18,30,30,31,31,33
براساس 31
برای 12,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,28,29,29,3,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,33,33,33,33,33,33,33,33,34,34,34,35,35,35,35,35,35,35,35,35,35,6,7,8,8,8,8,8
برخورد 31
برخوردار 31,31,31
برخی 1,18,18,18,18,18,18,18,18,18,18,31,33,35,8
بردار 32
برداشته 30
بردن 30,30,34
برده 35
بررسی 28,28,31,35,35,35,35,7
برساختن 6
برسازه 8
برسد 34
برطرف 32
برعهده 31
برقراری 30,31,35,35,35,35
برنامه 31
برنامهٔ 30,30,30
برنز 8
برود 31
بروز 31
بروند 31
برونریز 7
بزرگ 15,18,31,31
بزرگترند 30
بزرگسالان 35,35,35
بزرگی 31,31
بزنند 31
بسازید 29,30,31,32,33,34,35,8
بستری 33
بسته 30,30,30,30,30,31,34
بستگی 31,31,31
بسیار 18,30,30,30,30,30,31,31,32,33,33,35
بسیاری 1,18,18,18,18,18,31,31,31,31,31,31,31,31,31
بشقابی 34
بشنوند 18
بعضی 18,30,30
بقراط 15
بقراطی 15
بلایا 15
بلند 30,31
بلندمدت 1
بلوغ 31
بلکه 31,31,35
بمدت 30
بنابراین 30,31,31,31
بندی 32
بنزوالکونیوم 30
بنظام 34
بنیادی 28
به 31,31,31,31,33
بهبود 30,31,31,8,8
بهتر 30,30,31,32
بهداشت 29,29,30,30,31,31,31,32,32,33,35,35
بهداشتی 15,28,28,28,28,34,34,34
بهره 30,6
بهشتی 35
بهمن 15
بودن 18,18,18,18,30,30,31,31,31
بودند 15,8,8
بوده 30,32,33,35,8
بوسیله 7
بکار 30
بگوییم 31
بگیرد 31
بیان 30
بیرون 18,18,31
بیرونِ 18,18
بیزانس 15
بیشتر 12,18,28,28,29,29,3,30,30,30,30,31,31,31,31,32,32,32,33,33,33,33,33,33,33,34,34,35,35,7,8
بیشتری 31,31
بیشماری 30
بیمار 30,30,33,33,33
بیماران 33,33,33,33,33
بیمارانی 33,35
بیمارستان 30,33,33
بیمارستانی 30,33,33,33,33,33
بیماری 31,33,33,35
بیماری_روانی 13
بیماریزای 33
بیهوشی 15
بیوتیکی 33
بیوفیلم 33
بیکس 30
تأثیر 15,30,31
تأثیرگذار 35
تأثیری 31
تأسیس 35
تأمین 31,31,31,31,31,31,31,31
تابش 30
تابلوهایی 18
تاحد 31
تاریخ 15,15,15,34,34,34,35
تاریخی 12
تازه 31
تازگی 31,35
تامین 30
تانک 34,34
تاکنون 18,35,35
تبدیل 8
تبلیغاتی 18
تبیین 31
تجاری 12,28,29,3,30,31,32,33,34,7
تجربه 31
تجزیه 13
تجهیزات 30,30,30,35,35,35
تجویز 35,35,35,35,35
تحصیل 31,35
تحصیلی 35
تحقیقاتی 28,28,28,28
تحمل 28,28,28
تحول 35
تخریب 30,30,30
تخصص 35
تخصصی 35
تخلیه 34,34,34,6,6
تخمدان 31
تخمیر 33
تدابیر 35
تدریج 31
تراوایی 30
تربیت 31,31,35
تربیتی 31,31
ترجمه 30,31
ترجیح 18
ترحم 31
ترفند 31
ترومای 7,7
ترویج 35
ترکیبات 30,30
ترکیبیات 15
ترکیه 35
تسریع 8
تسمیهٔ 32
تسکین 32
تشخیص 18,31,33,33,33,35,35,35
تشخیصی 35
تشکیل 32,33
تصادفی 29,30,31,32,33,34,35,4,8
تصاویر 1,29,30,31,32,33,34,35,8
تصویربرداری 15
تضمین 31,31,31,31
تعادل 35,35,35,35,35,35,35,35,35
تعادلی 35,35,35
تعاملی 34
تعبیری 8
تعبیه 30
تعداد 30,35
تعدادی 15
تعریف 18,31
تعیین 33,35,35,35
تغذیه 15,31,31,31,31,31
تغییر 30,30
تغییرات 29,30,31,31,32,33,34,35,8
تغییرمسیر 31
تغییرپذیری 35
تفریح 31
تفسیر 35
تفکر 15
تقدیم 15
تقسیم 30,35,8
تقویت 35
تلاش 18
تلفن 12,28,29,3,30,31,31,32,33,34,7
تلقی 18
تلنباری 34
تماس 18,18,33
تمام 31,31,8
تمامی 30
تمثیل 32
تمیز 18
تمیزتر 18
تمیزی 18,18
تناسب 31,31
تناسلی 6,6
تندرست 31,31
تندرستی 31,31,31,31
تنظیم 18,30,31,35,35
تنفس 30
تنفسی 33
تنها 18,18,18,31,31,32,35,8
تهدید 31
تهیه 33
توازن 15
توافق 8
توالت 18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,34,34,34,34,34,34,34,34,34,34,34,34,34,34
توالتی 34,34
توان 31,33,8
توانایی 31,31,33
توانبخشی 35,35,35,35,35,35,35,35,35
تواند 33
توبرامایسین 33
توجه 31,31,31,31,31,31,31,33,35
توجهِ 31
توجهی 15
توزیع 35
توسط 30,30,30,30,31
توسعه 15,31
توصیف 18
توصیه 31,31,32
توضیح 18
توفیقات 35
توقع 31
تولد 35,8
تولید 32,33,33,8,8
تولیدمثل 15,15
توکار 18
تکمیل 8
تکنولوژی 35,8
تکنیک 30
تیونین 33
ثانیه 28
جادویی 28,28
جامع 30
جامعه 15,31,31,31,31
جامه 31
جانوران 6
جاهای 18
جاکوب 15
جایگاه 35,35
جایگزین 8
جایگزینی 30
جبران 35
جبرانی 35
جداسازی 18,33
جداگانه 18
جداگانهٔ 18
جدایی 34
جداییِ 18
جدول 15
جدید 18,34
جدیدی 15,35
جراحی 15,15,30,30,35,35
جزئیات 12,28,29,3,30,31,32,33,34,7
جستارهای 3,30,31,32
جسمانی 31,31,31
جسمی 31,31,31
جعبه 33,33
جلوِ 18,18
جلوگیری 18,18,18,34,35,35
جمعی 31
جمعیت 35,35
جمله 30,30,31,31,35,35
جمهوری 28,28,28
جنبشی 18,34
جنبندگی 33
جنبهٔ 8
جنتا 33
جنتامایسین 33
جنسیتی 34
جهان 15,28,35
جهانی 31,31,31,34,35,35,35,35,8
جوامع 15,31,35
جوان 31
جوانی 31,31
جوشاند 30
جیمز 8
جیوه 30
حائز 31
حالت 18,33
حالی 31,31
حاوی 28,28,29
حبابی 32
حتماً 31
حداقل 31,31,31,31,31,32,34
حدود 15,15,18,30,8
حرارت 30,30,30
حرکات 35,7
حرکت 18
حساب 15,15,29,29,3,30,30,31,31,31,32,32,32,33,33,33,34,34,34,35,35,8,8,8
حساس 18,30,31
حسگر 18
حفاظت 35,35,35,35,35,35,35
حمام 33,34
حمایت 31,31,31
حوادث 18,30
حواسشان 31
حوزه 31,31,31,35,35
حوزهٔ 28
حیاتی 33
حیطه 35
خارج 18,30,32,32
خارجی 18,18,18
خاصی 18
خاصیت 35
خاطر 31,31
خالص 18
خانه 18,18,18,18,18,18,18,31,31
خانواده 31,31,31,31,31,31,35
خبرنگاران 31
خبرگزاری 15,28,28
خدمات 28,28,28,28,30,35
خراب 30
خروج 34,6,6
خرید 31
خستگی 31
خصوص 29,30,31,32,33,34,35,8
خلاء 34,34
خلاصه 31
خواب 31,31,7
خواستار 18,8
خواسته 31
خواهد 31,33
خواهیم 31
خوبی 33
خودبخودی 7,7
خوددگربینی 13
خودش 30
خودشان 31
خودمراقبتی 31
خودکار 18,34
خودکاری 18
خوراک 31,33
خوردن 33
خوردگی 30
خونی 33
خوکی 34
خیلی 31
داخل 1,15,18,30,30,30
داخلی 7,8
دادن 30,30
داده 15,18,18,18,18,29,3,30,30,31,31,31,32,33,33,34,35,35,8,8
دارای 12,13,13,28,28,28,30,30,30,30,30,30,31,31,31,31,31,31,31,32,32,33,33,33,34,34,34,34,34,34,34,34,35,35,4,7,7,8,8,8
دارد 18,18,29,30,30,30,31,31,32,32,33,34,34,35,35,6,8
دارند 30,31,31
داروی 28
دارویی 35
داشت 18,30
داشتن 31,31,31
داشته 30,31,31,31,31,32,35
دانش 15
دانشجو 35,35,35,35
دانشنامهٔ 13,29,29,30,30,31,31,32,32,33,33,34,34,35,35,4,8,8
دانشگاه 28,28,28,28,33,33,33,35
داکوستا 13
دترجنتهای 30
دتول 30,30
دخالت 30
دختر 18
دختران 31
درآمده 32
درآوردن 18
درآورده 18
دربارهٔ 1,1,15,15,15,15,28,28,28,29,30,31,31,31,32,33,33,33,34,34,34,35,35,7,7,8
درجه 30,30,35
درخواستی 18
دردهای 32
درست 31
درستی 35
درشت 32
درصد 30,30
درصدی 31
درمان 15,15,30,31,31,31,33,33,35,35,35
درمانی 28,28,28,28,28,35
درهنگام 18,18,18
درون 18,18,30
درپوش 34,34,34
دریا 18
دریافت 31,31
دریافتی 35
دسامبر 28,28,30,31,32
دستاوردهای 35
دسترس 12,28,28,29,3,30,31,31,32,33,33,34,34,7
دستمال 18,34,34,34,34
دستمالِ 18,18
دستمزدهایشان 15
دسته 8
دستگاه 18,18,18,28,30,35,35,6,7,7
دستگیره 33
دستی 34
دعوا 31
دعوت 29,30,31,32,33,34,35,8
دفاعی 33
دقیق 33
دقیقه 31
دلیل 31,31,31,31,32,33,35
دمای 30,30,33
دناتوره 30,30,30
دنبال 15,31
دندانپزشکی 30,30,30
دهان 15,15
دهانه 30
دهلیزی 35,35
دهنده 30
دههٔ 18,18
دوباره 34,34,8
دوبارهٔ 18
دوران 15,15,31,31,31,31,31,31,31,34,34,34,6
دوره 15,31,8
دوری 31,31,31
دوست 31
دوستان 31,31
دولت 8
دوچرخه 31
دچار 31,31,31,31,33,33,35,35,8
دکتر 33,33,33
دکترا 35
دکتری 35
دیابت 28,28,28,28,28,28,31,31,31,31
دیجیتالی 28,28,28
دیده 18
دیرین 15
دیفرانسیل 15,15
دیندارانی 31
دیواره 18,33,33
دیگر 1,18,18,29,29,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,32,32,33,33,33,33,33,33,34,34,34,35,35,35,8,8
دیگران 28,31,31,31
دیگری 30,31,34
ذخیره 6
رابطه 31
رادیکالهای 30
راسخ 18
راسل 15
راسماز 33
راهنمایی 32
رایج 30,33
رجوع 8
رسمیت 31
رسیدن 31,31,31,31,32
رسیدگی 31,31
رشته 35,35,35,35,35
رضویلر 33
رطوبت 30
رعایت 31
رفتاری 35,35
رفتن 18,34
رفته 35,8,8
رنسانس 15
رنگدانه 33
رهاسازی 34
روابط 31
روان 31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
روانشناختی 31
روانی 13,13,31,31,31,31,31,31,35
روحی 31
روزانه 31,31,31
روزمره 31
روزمرگی 31
روزهای 31
روزی 31
روستایی 15
رومیان 8
رویداد 13
رویدادهای 29,30,31,32,33,34,35,8
ریخته 30
ریزبافت 30
ریزقالب 33,33
ریزی 30
ریشه 15,35
زانو 8,8,8
زاید 32
زایشگاه 35
زبان 13,15,18,28,28,30,30,30,30,31,34,34,34,34,34,34,34,35,4,8,8
زبانه 35
زدودن 32
زدگی 30
زمان 30,30,30,30,30,31,32,33,34,35,6
زمانی 15,30,31,31,31,31,32,34
زمین 15,15,18,32
زنان 15,15,18,18,18,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,34,34,6
زنانه 31
زنانی 31
زنجیر 34
زنجیره 30,33
زنده 30,33
زندگی 31,31,31,31,31,31,31,31,33
زوال 31
زودرس 31,31
زیاد 30,30,34
زیادی 18,31,8
زیبا 32
زیبایی 18,18,31,32,8
زیرا 33
زیرواحدهای 33
زیست 15,18,31
سابق 35
ساخت 18,18,29,3,30,31,32,32,33,34,35,35,8,8,8,8,8,8
ساختمان 32
ساختمانی 32
ساخته 18,18,32,8,8,8
ساختگی 8,8,8,8
ساداتی 30
ساده 30,31,31,31,31,31
سازمان 12,28,29,3,30,31,32,33,33,34,7
سازندهٔ 18
سازه 32
سازگاری 13,35,35,35
سازی 1,32,32
ساشه 29,29
ساشهٔ 29
ساعت 12,28,29,3,30,30,30,30,31,32,33,33,34,7
سالان 35
سالم 31,31,31,31
سالمند 31
سالمندان 3,31,31,31,31,31,31,31,31,31,31,31,31,35,35
سالمندی 31,31,31
سالِم 31
سالگی 28
سامانه 29,29,29,30,30,30,31,31,31,32,32,32,33,33,33,34,34,34,35,35,35,4,8,8,8
سانتی 30,30
ساپروفیت 33
ساکارز 33
ساکارید 33
سایت 30
سایر 18,31,33,33
سایندگی 32
سباتی 7
سبزی 31
سبزیجات 31
سبکی 32
سترون 30,30,30,30,30
سترون_ 30
سختی 32
سدیم 30,30
سراسر 18
سربازان 8
سربازانی 35,8
سردرد 32
سردردهای 32
سردرگم 18
سردمداری 31
سرریز 34
سرسوزن 30
سرطان 31,31
سرطانی 33
سرعت 32
سرنویس 28,28
سرنگ 30
سرویس 34,34,34,34
سرپایی 34,34
سرکوب 33,33
سرگیجه 35
سزایی 35
سطحی 30
سطلی 34
سطوح 35
سلاح 31
سلامت 31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,4
سلامتی 31,31,31,31,4
سلفو 8
سلول 30
سلولی 33
سموم 33
سنتز 33,33
سنتی 18,18,18,18
سنگ_پا 32
سنگین 30
سنین 31,31,35
سواری 31
سوختگی 33
سودوموناس 33,33,33,33,33,33,33
سودوموناس_آئروژینوزا 33
سودوموناسی 33
سوزان 34
سوزن 30,30
سولاب 34
سولفید 33
سولفیدریل 30
سویه 33
سپتامبر 15,15,30,7
سیاتیکی 32
سیار 34
سیاسی 31
سیترات 33
سیستم 15,33,33,33,33,35,35
سیستمیک 33
سیستیک 33
سیفون 18,18
سیفون_توالت 34
سیفونه 34
سیله 30
سیمای 18,18
سیمهای 30
سینک 33,33
سینی 33
سیپروفلوکساسین 33
شاخه 35,35,35
شامل 30,30,31,31,31,31,35,35,35,35
شانس 31
شاهزاده 18
شاگردانش 15
شایان 35
شایانی 32
شاید 18,31
شایع 33
شخصی 18,18
شدند 8
شدید 30,31,32,33,33
شدیدتر 31
شرایط 30,31,31,8
شرقی 34
شرمسار 18
شروع 18,34
شرکت 18
شریک 31,31
شستن 18,30,34
شسته 30
شعله 30,30
شلوغ 18
شلوغی 15
شماره 28
شمال 32
شناخت 31
شناخته 31
شناختی 13,31,31
شناسان 35
شناساندن 35
شناسایی 33,33,35,35
شناسی 15,15,15,33
شناور 34
شنوا 35,35
شنوایان 35
شنوایی 35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
شنواییشناسی 35
شنیداری 35
شنیده 18,18
شهرهای 18
شهید 28,28,28,28
شورای 12,28,30,35
شوند 31,33,8
شوید 29,29,30,30,31,31,32,32,33,33,34,34,35,35,8,8
شوینده 30
شکیل 18
شیرآلات 33
شیرخوارگی 6
شیشه 32
شیمیایی 30,30,30,30,34
صابون 18,18,30
صافی 30,30,30
صحبت 31
صحیح 31,35
صدای 18,18,18,18,18
صدایی 18
صدوقی 28,28,28,28
صفاقی 7
صفجه 29,30,31,32,33,34,35,8
صفحه 12,12,12,28,29,29,29,29,29,3,3,30,30,30,30,31,31,31,31,31,32,32,32,32,32,32,33,33,33,33,33,33,34,34,34,34,34,35,35,35,7,8,8,8,8
صفحهٔ 29,29,29,30,30,31,31,31,32,32,32,33,33,33,34,34,34,35,35,8,8,8
صندلی 18
صنعت 32
صنعتی 34,35,35
صورت 15,28,29,30,30,30,31,31,31,32,32,33,34,34,35,35,4,8
صورتی 18
ضامن 34,34
ضایعات 35
ضایعه 35
ضدآفتاب 31
ضدعفونی 30,30,30,30,30
ضدّعفونی 30,30,30
ضربان 7
ضربه 13
ضریب 30
طاعون 15
طبیعت 15
طبیعی 1,15,15
طحال 7,7
طراحی 35,35
طریق 18,30,6
ظاهر 31
ظرفی 30
عابران 18
عادی 35
عاری 30
عاطفی 31,31
عالی 35
عامل 31
عبارت 29,30,30,31,31,31,32,33,34,35,35,4,8
عبارتند 30,30
عبور 30,30,30
عروقی 31
عصبانیت 31
عصبی 35
عضوی 7
عطرهای 18
عظیم 15
عفونت 30,30,33,33,33,33,33,33
عفونی 15,30,30,30,30
علائم 7,7,7,7
علامتی 12,28,29,3,30,31,32,33,34,7
علاوه 35,35
علمی 31,32,35
علوم 15,15,15,15,15,15,28,28,28,28,35
علّت 18,18,18
عمدتا 35
عمدتاً 8
عمده 35
عملکرد 35,35,8,8
عملی 6
عموماً 8
عمومی 18,18,18,18,18,18,31,33,33,34,35
عمومیِ 18
عنوان 12,32,33,35,35
عهده 35
عوارض 35
عوامل 30,30,35
عیادت 33
غذاهای 31
غذایی 28,30,30,31,33,33
غربال 31
غربالگری 31,31,31,35,35,35
غربی 18,18
غشای 30
غلبه 33,35
غلظت 30
غلظتهای 30,30,30
غیرارادی 7
غیرانتفاعی 12,28,29,3,30,31,32,33,34,7
غیرفعال 30
غیرممکن 30
غیره 29,30,30,35
غیرهوشمند 8,8
غیرو 33
فارسی 30,6
فارمر 34
فاضلاب 34,34
فامیلی 35
فاکتورهای 31
فراموش 18,30,31
فرانسیس 15
فراهم 30,31,33,34,34
فرایند 30
فرایندهایی 1
فرایندی 30
فردی 31,35,35
فرزندان 31,31
فرصت 33
فرمان 34
فرنگی 18,34,34
فرهنگ 15,18,18
فرهنگستان 28,6
فرهنگی 18
فریدون 33
فسیل 15
فشار 18,18,30,31,31,31,7
فشارخون 31
فشانی 32
فضاهای 18
فضای 18
فضولات 32
فعال 18
فعالیت 30
فعالیتهای 30
فقدان 31
فلاش 18,18,18,18,34
فلاشینگ 18
فلانی 32
فلزات 30
فلزاتی 30
فلزی 33
فناوری 15,15,15,15
فوری 33
فوریه 30
فولاد 8,8
فونکسیونل 30
فکری 31
فیبر 8
فیبروزیس 33
فیتینگ 35,35,35
فیروزه 33
فیزیولوژی 15,6
فیزیولوژیک 35
فیزیکی 15,15,18,35
فیلتر 30,30,30
فیلتراسیون 1,30,30
فیلترهای 30
فیلترهایی 30
قابل 15,29,3,30,30,31,31,31,31,32,33,34,34,34,35,35,8,8
قابلیت 32
قادر 30,31
قاعدگی 31
قبولی 31
قبیل 30,31
قدمت 15
قدیم 6
قدیمی 18,18,30,34
قرار 15,18,18,18,18,18,18,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,33,34,35,35,6,6
قربانی 28
قرمز 33
قرون 15,15,15,15
قزوین 32,32
قسمت 30
قطار 18,18
قطور 34
قلبی 31,31,31,7
قندی 30
لاتین 15
لازم 30,30,30,34
لالالین 33
لاکتوز 33,33
لایه 30,32
لخته 1
لطفاً 32
لعابی 30
لنفی 7
لوازم 30,30
لوله 33
لولهٔ 34
لکرک 15
لیتر 18
لیزول 30
لیلا 30
لیوان 31,31
لیگاز 33
مؤثر 30,31,33,4
ماتریا 15
مادر 31,31,31,31
مادران 31
مادرزادی 7
ماده 30,30,30,30,30,30,30,6
مارس 3,30
مارک 18
مارکس 8
ماقبل 34
مالتوز 33
ماند 18
مانع 30,33
مانند 29,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,33
مانورهای 35
مانیتول 33
ماهانه 31
ماهیتشان 30
ماهیچه 8
ماکس 15
مایسین 33
مایع 30,30,30,30
مایعات 30
مباحث 35
مبتلا 31,33,33,35
مبتلایان 35,35
مبحث 31
مبنای 35
متأسفانه 31,31
متحده 8,8
متحرک 33
متحمل 31
متخصص 35,35
متخصصین 35,35
متخصصینی 35
متخلخل 32,32
متراکمِ 18
متروک 15
متصل 29,3,30,31,32,33,34,34,35,8
متعلق 12,28,29,3,30,31,32,33,34,7
متفاوت 12,12,18,18,30,31,8
متفاوتی 30,31
متمرکز 35
متناسب 30,31
متوالی 30
متوسط 30
متوقف 30
متیل 33,33
مثال 32
مثانه 6
مثبت 31,33
مثلاً 30,31
مجاری 15,15,15,33,6,7
مجاز 35
مجامع 31
مجاورت 6
مجبور 18
مجرا 34,34
مجرای 30
مجموعه 35
مجهز 18
محافظت 15
محبوب 31
محتوای 29,30,31,32,33,34,35,8
محتویات 29,30,31,32,33,34,35,6,8
محدودی 35
محسوب 18,18,18,30,31,31
محققین 35
محلول 30,30,30,30,30,30
محلی 28,28,31,31,31
محوطهٔ 34
محکم 30
محیط 15,15,18,30,30,31,33,33,33
محیطی 18,30,31
مخترع 8
مختص 30
مختلف 30,35,35
مختلفی 31
مخزن 29,3,30,31,32,33,34,34,34,34,35,8
مخصوص 18
مخصوصاً 31
مدارس 18,35
مداوم 31,31
مدرسه 31
مدرن 15,15,34,8
مدرک 35
مدفوع 18,34,34
مدّنظر 30,30,30
مدیریت 31,35,35
مراجعه 31,31
مراقبت 30,31
مراکز 35,35
مربا 30
مربوط 31
مربیان 35
