آثار 12,17
استرالیایی 23
استعاره 18
استعلایی 23
استفاده 11,11,11,11,12,13,14,15,16,17,17,18,18,18,18,18,19,24,24,25,25,26,26,26,26,26,26,26,26,26,27,27,27,4,4,4,4,5,5
استقرار 18
استوارت 23
استوایی 26
استودیو 19
استوکس 19
اسرائیل 18,18
اسلوب 19
اسمیت 18
اشاره 12,5
اشباع 5,5,5,5,5,5
اشغال 14
اشکالات 26
اشیا 10,17
اشیاء 15,18,26
اشیای 10
اشیایی 17
اصطلاح 26
اصطلاحاً 26
اصطلاحی 12
اصلاح 26
اصلی 12,13,13,14,15,15,15,16,17,18,18,19,19,24,25,26,26,26,26,26,26,27,5,5
اضافه 17
اطراف 26
اطلاعات 12,13,14,15,16,17,18,19,24,25,26,26,26,26,26,26,27,5
اطلاعاتی 27
اظهارنظر 10
اعتقادات 26
اعداد 17,24,24,24,24,24,24,24,24,24
اعصاب 26
اعضای 18,18,18,18
اعمال 10,15,15
افتاد 18
افتاده 19
افتتاح 18,18
افراد 26
افرادی 10
افرایم 23
افزایش 17,18,5,5,5
افزون 18
افغانستان 26
اقتصاد 18
اقدام 26
اقصی 26
اقوامی 26,26
الان 18
الاکلنگی 26
البته 26,26
الزامی 26
العاده 27
القای 27
الهام 10
الکترو 26
الکترودینامیک 26
الکتروستاتیک 4
الکترومغناطیسی 26,26,27
الکترون 18
الکتریکی 26,27,4,4,4,4,4,4,4,4,4,4,4,4
الگو 11,11,12,12,15,15,15,19,19,23,23,23,23,23,23,23,26,26,26,26,26,26,26,26,26,26,26,27,27
الگوهای 5,5
الگوی 18
امان 18
امتداد 14
امتیاز 18
امروز 19,26
امروزه 19,26,26
امروزی 26
املاح 5
امواج 10
امکان 12,13,14,15,16,17,18,19,2,24,25,26,27,27,5
انتخاب 10,11,11
انتخابی 13
انتشار 18,19,27,5,5,5
انتشارات 26
انتظار 19
انتقال 19,24
انتقالی 24
انتگرال 11
انجام 10,10,12,13,14,15,16,17,18,19,24,25,26,27,27,4,4,4,5
انجمن 15
انحلال 5
اندازه 14,14
اندازی 27
اندیشه 23
اندیشیدن 12,12,23,23
انرژی 18,18,18,18,26,26,4,4,4,4,4,4,4,4,4,4,4,4
انرژیِ 24,24,24
انسان 19,5
انقباضی 23
انگلستان 18,18
انگلیسی 18
اهدا 18
اهداف 18,18
اهمیت 5,5
اهمیتی 19
اواخر 26
اوایل 26,27
اوقات 19
اولین 18,18,18,19,27,27,27
اولیه 17,17,18,24,5,5
اولیهٔ 17,17
اونگر 23
اویل 12
اپتیک 26
اکتبر 14,14
اکثر 17
اکسیژن 5
اکنون 18
ایتالیا 18,18
ایتالیایی 18
ایجاد 10,10,10,18,18,26,26,26,4
ایده 18
ایراد 26
ایران 18,18,18,18,18,18,18,18,18,18,18,18
ایرانی 18,18,18,18
ایزومتریک 14
ایستای 10
اینجا 26,4
اینشتین 26,26,26
اینکه 17,17,19,19,26,27,4
اینگونه 26
بابافف 19
بارز 5
بارهای 4,4,4,4,4,4,4
باری 4
بازبینی 16
بازتابی 23
بازرگانی 26
بازه 5
باستان 26,26
باشد 10,10,10,10,10,14,17,17,19,19,26
باشند 4,4,4
باعث 18,26
بافت 5,5
بالا 10,17,17,4
بالاتر 5,5
بالای 1
بانگ 1
باوری 23
باید 10,18,19,19,4,4
بتای 14
بتوان 10,18,26
بحرین 18,18,18
بخار 25
بخواهیم 19
بدست 4
بدنه 19,19
بدهند 18
بدون 26,26,26,5
بدیهی 26
برابر 13,17,27,4,4,4,5
برابری 23
برانگیخته 1
برای 10,10,10,10,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,15,15,15,15,15,16,16,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,19,19,23,24,24,24,25,25,25,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,4,4,4,4,4,4,5,5,5,5
برایِ 24,24
برخورد 5
برخوردار 5
برخورددهنده 27
برخی 10,18,26,26,26
بردار 10,4
برداری 4
برداشت 5,5,5,5
برداشت_فشار 5
بررسی 14,19,19,26,26,26,26,27,27
برسد 17,17
برنده 26,27
برهمکنش 10,10,10,26,26
برهمکنشهای 10
برگرفتن 10
برگرفته 19
برگشت 11,11,11,11,11,11
بریتانیایی 18
بزرگ 17,18,18,24,24,26,26,26,27,27,27,27,27,27
بزرگتر 17,17,5
بزرگی 24,24,24,24,24,24,24,24,26
بزنیم 19
بسازید 12,13,14,15,16,17,18,19,24,25,26,27,5
بستر 18
بستری 15
بسیار 10,18,18,19,26,26,26,5
بسیاری 17,19,26,26,26,26,26
بشری 19
بشنویم 19
بصری 26
بعداً 26
بعدی 19
بعضی 19,19,26
بغداد 18
بقیه 18
بلکه 10,10
بنابراین 10,17,4,5
بندی 27,27
بنیادی 26,27
بنیادین 14,14,26,26,26,26
بهاری 26
بهبود 15
بهداشتی 26
بهره 17,27,5
بوئینگ 12
بودجه 18,18,18,18
بودن 10,10,18,27
بودند 10,18,26,26
بوده 17,18
بونو 23
بپردازند 18
بچسبانیم 19,19
بکارگیری 18
بکنیم 10
بگذاریم 19
بگوش 19
بگوییم 26
بگیریم 14,17
بیان 10,13,17,27,27,4
بیانی 15
بیرون 12,17,18,25
بیستم 26,26,26
بیشتر 1,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,23,24,24,25,25,26,26,26,27,4,4,5,5
بیشتری 10,27,5
بیماری 5
بینهایت 4
تأثیر 17,18,5,5
تأثیرگذار 26
تأسیس 18
تأسیسات 26
تأمین 18,18
تئوری 16,26
تائی 5
تابش 18,18,18,18,18
تابع 10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,17
تاخیر 27
تاخیردار 11,11
تاخیرهای 18
تاریخ 18,18,19,19,26
تاریخهای 10
تاریخچه 18
تاریخی 19,26
تازگی 10
تالس 26
تامسون 19
تاکنون 16
تبدیل 10,11,18,18,18,4
تجاری 1,11,12,13,14,15,16,17,18,23,24,25,26,4
تجربی 16,18,27
تحقیق 19
تحقیقات 18,18,18,18,26,26
تحقیقاتی 18,18,18,18,18,18,18,18
تحلیل 23,26,26,26
تحلیلی 15
تحول 18,26
تحولات 19
تحولی 26
تدریج 26
تدریس 24
ترازوی 27
ترافیک 26
تراکم 5,5
تراکنشی 10
ترتیب 10,17,17
ترجمه 17,26,26,26,26
تروریستی 18
ترویج 18
ترکیبی 5
ترکیه 18,18,18,18
تزریق 5
تشکیل 26,26,27,27,27,5
تصادفی 10,10,10,10,12,13,14,15,16,17,18,19,24,25,26,27,5
تصاویر 12,13,14,15,16,17,18,19,24,25,26,27,5
تصحیح 26
تصمیم 18
تصور 26,26,26,26
تصویب 18
تصویری 10,18,23
تطابق 10
تعاریفی 26
تعبیر 10,10,10,10,10,10,10,10,10,26
تعبیری 10,10
تعریف 27
تعطیلی 18
تعمیرات 26,26
تعیین 10,13,27,5
تغییر 11,17,18,26,26,5
تغییرات 12,13,14,15,16,17,18,19,24,25,26,27,5
تغییرِ 24
تفسیر 10,10,10,10,10,10,10,10
تفسیرهای 10
تفکیک 23
تقارن 26
تقدیمی 27
تقریب 11
تقریباً 17,26,26
تقسیم 10,18,26,26
تلاش 26,26,26
تلسکوپ 27
تلسکوپی 27
تلفن 1,11,12,13,14,15,16,17,18,23,24,25,26,4
تلفیق 26
تمام 26,26,26,4
تمامی 26
تمایل 18
تمرکز 18
تناسلی 26
تنظیم 15
تنفس 5,5,5
تنفسی 5
تنها 10,10,18
توافق 18,27
توان 15,18
توانست 17,26,26
توانستند 26
توانی 11
توجه 15,5,5
توجهی 26
توجیه 26
توزیع 4,4,5
توسط 10,10,18,18,18,18,25,26,26,26,26,26,27,4,4,4,4,5,5,5,5
توسعه 10,18,18,18,26
توسعۀ 26
توسل 23,26
توصیف 10,10,13,17,25,26,26,26,26,27,5
توصیفی 10,23
توضیح 10,10,10,10,10,26,26,27
توضیحهای 10
توضیحی 26
توقف 18
تولید 19,19,4
تولیدکننده 18
تونل 11
توکان 18
تکامل 10,26,26,26,26
تکمیل 18
تکنولوژی 18
ثابت 17,27,4
ثانیه 17
جادویی 14,14,14,18
جاذبه 27,4
جاذبهٔ 4
جامد 19,5
جامدات 19,19,5
جامعهٔ 26
جامی 19
جایزه 27
جایگزین 10,26,27
جایگزینی 10
جایی 14
جبران 26
جبری 15
جدید 18,18,26,26,26,26,26,26,26,26,27,27,27
جدیدش 18
جرمشان 17
جرمی 17,17,17
جریان 13,13,13,18,5,5
جزئیات 11,12,13,14,15,16,17,18,23,24,25,26,4
جستارهای 15,26,27
جسمی 14,14,14,17
جعبه 19
جعفر 17
جلوگیری 10
جمله 10,18,18,19,27
جملهٔ 11
جنبش 26,5
جنسی 12,12,23,26
جهان 10,10,12,15,27
جهان_میانی 12
جهانهایی 10
جهانی 10,26,26,26,27,27,27
جواب 11,11,11,11,11
جورج 17
جولز 23
جیمز 27
حاصل 17,19
حالت 10,10,10,10,10,10,11,14,15,17,19,26,26,26,26,26,4,5,5
حالتِ 24,24
حالتی 10,24,4
حالی 10,17,17,18
حاوی 14,14
حاکم 26
حباب 1,5
حتماً 10
حجمی 13,13
حداکثر 18
حدفاصل 12
حدود 11,11,17,17,17,5,5
حدوداً 17,26
حرارتی 23
حرکت 11,14,17,17,19,19,19,19,24,26,26,26,27,27,27
حرکتشان 17
حرکتِ 24
حساب 12,12,12,13,13,13,14,14,15,15,15,15,16,16,16,17,17,18,18,18,19,19,19,24,24,24,25,25,25,26,26,26,27,27,27,27,5,5,5
حضور 18,26,4
حلال 5
حلالیت 5
حمایت 18,18
حملهٔ 18
حوزه 26,26
حوزهٔ 26
حوزۀ 26,26
حیات 26
خارج 10,18
خارجی 19,4,4,4
خازن 4,4,4
خاصی 14
خاصیت 19,19
خاطر 26,27
خالی 26,4,4
خانگی 26
خاورمیانه 18,18,18,18,18,18,18,18
خدمت 15
خراسان 18
خروج 18
خصمانه 18
خصوص 10,12,13,14,15,16,17,18,19,24,25,26,27
خلاف 23,26,4
خلال 17
خواص 25
خواهد 11,14,18,18,4,4,4,4,5,5,5
خواهند 18
خواهیم 4,4
خوبی 19
خودش 17,26
خودشان 17
خودِ 24
خوراک 26,26
خورشید 15,26,27
خیالی 5
خیلی 17
دادن 17,17,17,19
داده 10,10,10,12,13,13,14,15,16,17,17,18,18,19,24,25,26,27
دارا 19
دارای 10,10,10,11,11,11,12,12,12,13,13,13,14,14,15,15,16,16,16,16,19,2,23,23,23,23,25,25,25,26,26,26,26,27,27,5,5,5
دارد 10,10,10,12,13,14,15,16,17,18,18,19,24,25,26,26,26,27,27,4,5
دارند 18,18,26,26,26,27,27
داریم 26,4
داستان 18
داشت 18,19,26
داشته 10,18,19,23,23
دافعهٔ 4
دامنه 11
دانان 26
دانش 15,18,18,27,27
دانشجویان 18
دانشمند 12,12,18,18,18
دانشمندان 14,18,26,26,26
دانشمندانی 26
دانشنامهٔ 1,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,2,24,24,25,25,26,26,27,27,5
دانشهای 26
دانشگاهی 24,26
دبی_حجمی 13
دبیرستانی 24
دخیل 5
دراز 19
درازایی 1
درافزایش 5
دربارهٔ 10,10,11,12,12,13,14,15,15,15,16,17,18,19,19,23,23,23,23,24,25,26,26,26,26,26,26,26,26,26,26,27,27
دربرابر 12
درجه 5,5
درجهٔ 10
درست 12,12,26
درصد 17
درهای 18
درون 10
درونی 14
دریافت 18,26,27
دریک 1
دسامبر 13
دسترس 11,12,13,14,15,16,17,18,23,24,25,26,4
دسته 26,26
دستگاه 13,18,18,25
دعوت 12,13,14,15,16,17,18,19,24,25,26,27,5
دفاع 26
دفعات 10
دلار 18
دلایل 18,19,26
دلیل 17,18,18,18,19,19,26,26,27,4,4,4
دنبال 14,26
دنیا 18,18
دنیاهای 10,10,10,10,10,10,10,10
دنیای 10,10
دهانه 18
دهنده 26,27,27
دوباره 26
دوتایی 14
دوران 24,26,26
دوره 26,26
دولت 18,18
دولتمردان 18
دکتر 18
دگرگون 12,12
دیده 1,10,10,10,19,19
دیدگاه 10,10,10,10,10
دیراک 26
دیفرانسیل 15,15
دیفرانسیلی 4
دیفیوزر 19
دینامیک 26,26,26,26,26,26,26,26,26,26,27
دیویسون 11
دیگر 10,10,11,12,13,14,14,15,15,15,16,16,17,17,18,18,18,18,19,19,19,24,25,25,26,26,26,26,26,26,26,27,27,27,27,4,4,5,5,5
دیگری 10,18,26,27
ذاتی 10
ذخیره 4,4,4
ذرات 10,10,11,11,18,18,18,18,26,26
ذره_نقطهای 14
ذهنی 10,10
رئیس 18,18
رابطه 10,11,17,27
رابطهٔ 10,27,4
راجع 17,19
راسو 12
رحیقی 18
رسانده 18
رسماً 18,18
رسمی 18,26
رسید 26
رسیده 10
رفتار 11,11,11,14,26,26,26,26,26
رفتارهای 26
رفته 19,26
رنگِ 24
رهیافت 10,10
رواست 5
روزافزون 26
روزانه 19
روزنامه 18
روسیه 18,18
روشن 27
روشنگری 23
روند 26,5,5
رویداد 10,10,10
رویدادهای 12,13,14,15,16,17,18,19,24,25,26,27,5
رویکرد 10
ریاضی 10,11,15,15,15,15,16,26,26,27,27
ریاضی_فیزیک 15
ریاضیات 10,26,26,26
ریاضیدان 25
ریخته 10
ریزتر 17
ریشهٔ 19
ریچارد 12
زبان 10,11,12,12,13,13,16,16,16,19,2,23,23,23,23,23,23,23,25,25,26,26,26
زدائی 5
زمان 10,10,10,13,13,17,17,17,24,26,26,26
زمانی 10,15,18,26,4,5,5
زمین 17,17,17,17,17,17,19,27,27,27
زمینه 14,18,26,27,5
زمینهٔ 27,27
زمینی 17
زندگی 12,12,19,19
زیادی 10,14,17,17,17,18,19,26,26,27,5
زیرا 10,17,19
زیستی 27
سابق 18
ساخت 11,12,13,14,15,16,17,18,18,18,18,19,24,25,26,26,27,5
ساختار 14,4
ساختاری 26,26
ساختمان 26
ساخته 18
ساده 26
سادهٔ 27
سادگی 10
سازمان 1,11,12,13,14,15,16,17,18,18,23,24,25,26,4
سازوکار 10
ساعت 11,12,13,14,15,16,17,18,23,24,25,26,4
سالنامه_فیزیک 16
سالیان 19,26
سامانه 12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,24,24,24,25,25,25,26,26,26,27,27,27,4,5,5,5
سامانه_جرممتغیر 17
ساکن 4
سایر 19,4,4
سایرِ 24
ستاره 12
ستارگان 15,26,26,26
ستیزی 23,26
سدهٔ 25
سراسر 5
سرانجام 26
سردمدار 26
سرسختانه 26
سرطانی 18
سرعت 10,17,17,17,17,17,17,17,18,26,26,26,4
سرعتی 26,26
سرنویس 11,11
سروکار 26,27
سریال 18
سریع 18,19,19,5,5,5
سریعتر 5,5
سزامی 18,18,18,18,18,18
سسمی 18,18,18,18,18,18,18,18
سعدی 19
سقوط 17
سلولی 5
سنتی 23,26
سنجش 5
سندرز 23
سنکلوترون 18
سنگین 27
سوئد 18,18
سوئیس 18,18
سوخت 17,17,17,17,17,17,17,17,17,17,17,5
سوختن 17
سوختهای 17
سوراخی 1
سوزاندن 17
سونولومینسنس 1
سپتامبر 16,18
سیارات 26
سیاسی 23,26
سیاه 24
سیستم 10,10,10,10,10,10,13,5
سیما 26
سیمون 19
سینماتیکی 26
سینکروترون 18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
سینکروترونی 18
شاخه 26
شارش 13
شالودهٔ 27
شالودۀ 26
شامل 18,27,27,4
شاید 10,18,26
شبکه 26
شبیه 10,10
شتاب 17,24,24,26,27,27
شتابدهنده 18
شدند 26,26
شرایط 19,26
شرودینگر 10,10,10
شروع 11,18,26
شرکت 26
شریعتی 26
شمار 10
شمارش 26
شماره 18,26,26,26,26
شمال 18,26
شناخته 25,5
شنیدن 19
شواهد 18
شورای 11,15,18
شوند 27,4
شونده 4,4
شوید 12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,24,24,25,25,26,26,27,27,5,5
شکستن 26
شکلی 24,26
شیئی 19
شیفت 12
شیمی 27
صحبت 26
صحیح 26
صدای 19,19,19
صفجه 12,13,14,15,16,17,18,19,24,25,26,27
صفحه 11,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,17,17,17,17,17,17,18,18,18,18,18,18,19,19,19,19,23,24,24,24,24,24,25,25,25,25,25,26,26,26,26,26,26,27,27,27,27,4,5
صفحهٔ 12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,24,24,24,25,25,25,26,26,26,27,27,27,5,5
صنایع 19
صنعت 18
صنعتی 18,26,26
صوتشناسی 19
صوتی 19
صورت 10,10,11,11,11,11,11,12,13,13,14,14,15,16,17,17,17,18,18,18,19,2,24,25,26,26,27,4,4,5
صورتی 19,26,4
ضرایب 11
ضربه 17,19
ضروری 17
ضریب 11,11,11,4,4,4
ضعیف 26,26,26,26
طبیعت 26,26,26,26,26,26,26,26,27
طبیعی 23,23,26,26,26,27,27
طراحی 18,27,27
طریق 5,5,5
طولانی 18,26
ظاهر 19
ظاهری 10
ظرفیت 4
ظهور 27
عامل 4,4,4,5
عبارت 12,13,14,15,16,17,17,17,17,18,18,18,19,2,24,25,26,26,26,27,5
عبارتند 14,27
عبارتی 5
عبدالله 18
عبور 11,13,18
عبوری 13,13
عددی 17
عضلات 5
عضویت 18,18
عظیم 26,26
علامت 19
علامتی 1,11,12,13,14,15,16,17,18,23,24,25,26,4
علاوه 18
علمی 14,16,16,16,18,18,18,18,18,18,18,19,26,27
علوم 13,18,18,18,18,19,23
عمده 27
عملکرد 11
عموم 19,26
عموماً 26,26,26,26
عمومی 17,18,26,26,26,26
عناصر 4,4
عنوان 10,10,10,10,14,17,18,18,18,18,26,27,27,5,5,5,5,5
عهده 18
عینی 10,10,10
غاری 18
غربی 18
غواص 5
غواصان 5
غواصی 5,5
غیرانتفاعی 1,11,12,13,14,15,16,17,18,23,24,25,26,4
غیرقابل 26
غیره 18
فارسی 18
فاصل 12
فاصله 4,5
فاصلهٔ 4
فاقد 10
فالکنهاگن 2
فرااتمی 26
فراتر 26,26
فرار 10
فرامولکولی 26
فرانسه 18,18
فراوانی 18
فراگیر 10
فرایند 10
فرضی 10,4,4
فرمول 27,27
فرمولبندی 26
فرمی 26
فرهنگی 18,26
فروریختن 10,10,10,10,10
فروریختگی 10
فروزند 26
فروکاهی 10
فروکاهیِ 10
فرکانس 26
فریدریش 19
فشار 25,5,5,5,5,5,5,5,5,5,5,5,5
فشارنسبی 5
فضاهای 12
فضای 11,4,4,4
فضایی 27,4
فعال 18,5
فعالیت 18,18
فعلی 18,18
فلزی 19,19
فلسطین 18,18
فلسفه 26,26,27
فلسفهٔ 26
فلسفی 10
فمینیستی 23
فناوری 18,18,18,18,18,26,26,27
فهرست_فرمولهای_مقدماتی_فیزیک 24
فهرستی 24
فواره_هرون 25
فوارهٔ 25
فوریه 18
فوریهٔ 24
فولز 17
فیزیک 14,15,15,15,15,15,15,16,16,16,17,18,18,19,23,24,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27
فیزیک_آزمایشگاهی 27
فیزیکدان 25
فیزیکدانان 26,26
فیزیکی 10,10,10,10,14,15,26,26,26,27
فیلسوف 19
فیلسوفان 26
فیلسوفانی 26
قابل 10,12,13,14,15,16,16,17,17,18,19,19,24,25,26,26,26,26,26,26,26,26,26,27,27,4
قاعده 27
قانون 27
قبال 19
قبرس 18,18,18
قبلاً 10
قبلی 26
قبول 10,19,19
قبیل 19
قدرت 18,26
قدیم 19
قدیمی 15,18,18,27
قرار 10,10,10,17,17,17,17,17,17,18,18,18,19,19,19,26,26,27,27,4,4
قسمت 19
قطار 19,19
قطاری 19
قطره 27
قطعه 19
قطعی 10,10
قطعیت 10,10
قطعیتی 10,10
قلمرو 26
قلمروهای 26
قلهٔ 12
قوانین 10,25,26,26
قوانینِ 24
قویتر 19
لازم 10,17,17,17,17,17,17,4
لحاظ 26
لحظه 17,17
لروند 19
لطفاً 15
لغوی 18
لولین 18,18,18,18,18
لویی 19,19
لکرک 23
لکوموتیو 19
لیپید 5
مؤثر 17,26
مؤسس 18,18
مؤسسان 18
مؤسسه 18,27
مؤلف 10
ماده 15,17,26,26,26,26
مارس 12,23
ماری 19,19
ماشین 18
ماشینی 25
مالی 18,18
ماندن 26
مانند 10,17,26,27,27,4,5,5
ماهواره 17,17,17
ماهیت 17
ماوراءالطبیعه 26
ماکروسکوپی 26
ماکسول 26
مایع 5,5,5,5
مایعات 19,19,5,5,5,5,5
مبحث 26
مبدا 24
مبنای 19
مبهم 10
متابولیک 5
متحد 18,26
متحده 18,23
متخصصین 18
متصل 12,13,14,15,16,17,18,19,24,25,26,27
متعدد 10,10,18
متعلق 1,11,12,13,14,15,16,17,18,23,24,25,26,4
متغير 17
متغیر 11
متفاوت 10,26,26,26,27,5
متفاوتی 26,27
متقاعد 26
متمایز 10
متناسب 13,5
متناظر 10
متوسط 5
مثال 17,5
مثالی 10
مثبت 4,4
مثلاً 17,19,4
مجازی 26
مجانب 11
مجاورت 19,4
مجتمع 18
مجلات 16
مجلس 18
مجله 16,26,26,26,26
مجموع 26
مجموعه 18,18
محاسبه 11,13,17,4,5,5
محاسبهٔ 10,4,4
محافظت 26
محتوای 10,12,13,14,15,16,17,18,19,24,25,26,27
محتویات 12,13,14,15,16,17,18,19,24,25,26,27
محدودیت 10
محسوب 19
محصول 5
محظه 5
محفظه 5
محلول 5,5
محلولیت 5
محمدرضا 26
محموله 17,17,17,17
محور 17
محیط 10,18,26,26,26,27,27,4,4,5
مختصات 18
مختلف 10,19,26
مختلفی 10,10
مخزن 12,13,14,15,16,17,18,19,24,25,26,27
مخصوص 17,19
مخصوصاً 26,26
مخفی 18
مخلوط 5
مدار 17,17,17,17,17,17
مدارس 12
مدارکی 26
مداری 17,17
مدرکی 12
مدور 18
مراسم 18
مربوط 10,10,10,10,19,24,24,25,26,26
مرتبط 26
مرتبه 17
مرتبهٔ 11
مرجع 10,23,23,4
مرحله 17,17
مردم 26
مردمان 26
مرسوم 10
مرکز 18,18,18,18,18,18,18,18,18
مزبور 19,19
مسئله 17
مسئلهٔ 10
مسئول 18
مسائل 15,17,27
مسافت 19
مستقل 10,18,18,24,27
مستقیم 23,27
مستند 11,15
مسیح 26,26
مسیر 18
مسیری 18
مشابه 10,4
مشارکت 18
مشاهدات 10
مشاهده 10,10,10,10,11,12,15,15,19,19,23,23,23,23,26,26,26,26,26,26,26,26,26,26,26,27,27,27
مشاهدهٔ 27
مشترک 18,18
مشخص 24,27
مشخصات 18
مشخصی 10
مشروط 18
مشهور 26,27
مشکل 18,26
مشکلات 10
مصداق 10,23
مصرف 17
مطالب 15,19
مطالبی 27
مطالعات 18,18
مطالعه 14,25
مطبوع 19
مطرح 10,18,18,27
مطلب 19
معادله 11,17,17,17
معادلهٔ 10
معاون 18
معتبر 26
معرفی 24
معروف 18,26
معمول 5,5
معمولاً 13,17
معمولی 10,26,26
معنای 12,18,19
معنی 18
معین 23
مغناطیسی 26
مفاهیم 26,26
مفاهیمی 26
مفهوم 10,26
مفهومی 26
مقابل 26
مقالات 16,23
مقاله 15,15,24,24,27,27,27,27,27
مقالهٔ 10
مقاومت 17,26
مقایسه 5
مقدار 17,17,17,17,27,4,4,4
مقدماتی 24,24
مقدماتیِ 24
مقطع 13
مقوله 26
مقیاس 12,24
ملاحظاتی 10
ملاحظه 17,19
ملزم 10
ممکن 10,10,10,19,5
ممکنی 10
منابع 18,26,26,26
مناسب 11,15
مناسبی 18
منتشر 16
منتقل 18,18,19,4,5,5
منجر 5,5
منحصر 18
منسوب 24
منطقه 18,18,18,18,18,18,18,18,18
منطقی 23
منظر 10
منظور 26
منفی 4,4,4,4
مهجوری 19
مهجوریت 19
مهندسی 26
مواجه 18
مواد 26,5,5
موارد 17
مواردی 26
موافقت 18
موانعی 18
موجود 18,19,26,26,5
موجی 10,10,10,10,10,10
مورد 17,19,19,19,26,26,26,26,26,26,27,27,27,4
موسیقی 19,19,19
موشک 17,17,17,17,17,17
موشکی 17,17
موضعی 10,10,11
موضوع 10,19,19,27,27
موفق 18
موفقیت 18,26
موقعیت 10,10,4
موقعیتهایی 10
مولکولی 15,26,26,26,5,5
مکان 18,18
مکانیزم 10
مکانیک 10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,26,26,26
مکانیکی 19,26,5
مکانیکیِ 24
میان 12,18,26,4
میانی 12
میدان 10,26,26,26,4,4,4,4,4,4,4
میزان 13,5,5,5
میلاد 26,26,26
میلادی 10,26
میله 19
میلیون 18,18
میکرو 26
میکروسکوپ 18,18
نابینا 12
ناشی 4
ناظر 18,18,18
نامزد 18
نامعادلهٔ 10
نامگذاری 24
نانو 26
نبود 18,26
نتایج 27
نتوانند 26
نتیجه 10,17,27,4,4,4
نتیجهٔ 17
نحوه 12,26
نحوهٔ 12,26
نخست 25
نخستین 1,25,27
نخواهد 10,17
نخواهیم 23,23
ندارد 10,10,26,27
نداشتن 14
نداشته 17
نرخی 5
نزدیک 11,19
نزدیکی 17,17,18,26
نسبت 10,17,17,17,17,24,4,5
نسبتاً 19
نسبتی 17
نسبی 10,4,5,5,5,5
نسبیت 10,15,26,26,26,27
نسخه 12,13,14,15,16,17,18,19,24,25,26,27
نسیت 4
نشان 10,13,19,26,26,26
