آخرین 17,17,17,17,17,7
باشد 12,17,17,17,17,18,18,19,3,4,4
باشند 17,18,3
باشگاه 17,17
باعث 17,17,19,7
بافت 19
بالا 17,18,19,19,7
بالای 17,19
بالایی 18,18,19
بالستیت 17
بانک 17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18
بانکدار 18
بانکهای 18
بانکی 18,18,18,18,18
باهوش 18,7,7
باید 11,12,12,17,17,17,17,19,19,19,19,7
بتواند 17
بخشی 17,18,7
بد 17
بدان 18
بدرد 3
بدزدم 7
بدنم 7
بدنه 19
بدون 11,11,11,11,12,12,17,18,19,19,2,7
بدیهی 12
برابر 17
برادر 17,17,17
برادری 17
براده 19
برای 1,11,12,12,12,12,12,12,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,2,2,3,3,4,4,7,7,7,7,7,7,7,7,7
برتر 7
برتراند 17
برجسته 17,17,17
برخلاف 7
برخوانی 3
برخی 12,12,12,12,17,17,18,18,18,18,19,2,3,4,7,7,7
برداری 19
برداشت 18
برداشتن 7
برده 17
بررسی 1,17,19,19
برطبق 11
برطرف 7
برعهده 17,17,17,17
برقرار 18
برقراری 4
برنارد 17
برنامه 18,18,18,18,18,18,18,18
برنده 17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
برندگان 17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
برنرز 7
برهم 11
برپایه 17
برچسب 12,4
برگزار 17,17,17,17,17,17,17
برگزاری 17
بزرگ 17,17,17,18,19,19,7
بسازید 12,17,18,19,2,4
بسته 18,19
بسزایی 17
بسیار 18,19,7
بسیاری 17,17,17,18
بشردوستانه 7,7
بشریت 17,17,17,17
بشکافند 7
بصری 3
بطری 19
بعدی 18,18,18,19,19
بعضی 18,18
بعلاوه 19
بلوغ 12
بلکه 12
بنابراین 17,18,18,4
بنیاد 17,17,17,17,17,17,17,17,17,17
به 12,17,17,17,17,17
بهبود 11,12,18,19,19,19,19,3
بهتر 12,19,19,4,7
بهداشتی 3
بهره 17
بهرهوری 12
بهینه 12,19,19
بودن 12,17,18,4,7
بودند 17,17,17,7
بوده 19,19,19,19,19
بودیم 7
بورس 7
بورینگ 19
بوسیله 18
بپندارند 2
بکار 18,3
بگیرد 18,7
بگیرند 18,7
بیان 7
بیش 12,17,17,18
بیشتر 1,11,12,12,16,17,17,17,17,17,17,18,18,18,19,19,19,3,4,7,7,7,7,7,7,7,7
بیشتری 17,17,19,19,7,7
بیمه 18
تأثیر 11,17,17
تأثیرهایی 17
تأسیس 17,17,17
تأسیسات 19,3
تأمین 17
تأکید 4
تأیید 17,17
تئوری 17
تئوریک 17
تاجر 17
تاختند 17
تاریخ 17,17,17,17,18
تازه 17
تبدیل 17,17,19,19,19,7
تبلیغات 1
تبلیغاتیِ 17
تجاری 1,11,16,17,18,18,3,7
تجربه 19
تجزیه 7
تجهیزات 12,18,18,19,19,19,19,19,19,3
تجهیزاتی 19
تحریم 7
تحقیقات 17,17
تحول 11,3
تحویل 18,18
تخصصی 2
تخطی 16
تخلیه 19
تدابیری 12
تداومی 11
تراش 19,19,19
تراشه 18
تراشهٔ 7
تراشی 19
ترافیک 3
ترامپ 17
ترانسدیوسر 19
ترانسمیتر 19
تربیت 2
ترتیب 17,17
ترتیبی 19,19
ترجمه 18
ترحیم 17,17
تردید 17
ترغیب 2
ترمینال 18
ترور 17
تسهیل 2
تشبیه 17
تشکیل 17,17,17,17,17,18
تصادفی 12,17,18,19,4
تصاویر 1,12,17,18,19,4
تصمیم 17,17,17,7
تصور 7
تصویب 17
تطبیقی 19
تعجب 17
تعداد 17,17,17,17,17,17,18,18,18,18,18,7
تعدادی 7
تعریف 12,12,12,19,4,7
تعطیلات 2,2
تعلق 17,17,17
تعلیم 2
تعمیرات 3,3
تعویض 19
تعیین 17,17,19
تغذیه 19
تغییر 11,17,19,19,7
تغییرات 12,17,18,19,4
تفاوت 18,18
تفریحی 18
تفسیر 18,19
تفسیرهای 18
تفکّر 12
تقاضای 18
تقدیر 17
تقریبی 17
تقسیم 17,17,17
تقلید 18
تلاش 17
تلفن 1,11,16,17,18,18,3
تلویزیونش 7
تمام 7
تمامی 7
تمبر 18
تمیزکاری 18,18
تناسلی 3
تنبل 7
تنظیم 19,19
تنظیمات 18
تنها 17,7
تنوعی 4
تنیده 17
تهدید 7
تهران 18
تهیه 17,18
توافق 17
توافقات 17
توالی 19
توان 12,18,18
توانایی 12,18
تواند 18
توانمند 2
توانمندی 7
توانند 18,18
توجه 11,12,12,17,18,18,18,7
توجهی 19,19
توروالدز 7,7
تورینگ 17
توزیع 17,17
توسط 17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,19,19,19,19,7,7,7
توسعه 18,19,19,19,19,19
توسعهٔ 7,7,7,7
توضیح 7
تولید 12,12,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
تولیدی 19
تکراری 12
تکمیل 18
تکنولوژی 7
تیمی 17
ثروت 17,17,17,17,17,17
ثروتمندی 7
جابجایی 18,18,19
جابز 7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
جانبی 18
جاوا 18,18
جایزه 17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
جایزه_نوبل 17
جایزهٔ 17,17,17,17,17,17,17,17,17
جایگزین 18,2
جایگزینی 19
جایی 17,7
جدال 7
جداگانه 18
جدای 7
جدید 18,19
جدیدتر 18,18,18
جدیدی 18,18
جراحی 7
جزئی 17
جزئیات 1,11,16,17,18,3,7
جستارهای 17
جستجو 7,7
جغرافیا 12
جلسه 17,17
جمعیت 16
جمله 17,17,7,7
جنبه 17,18
جنبهٔ 17
جنوب 18
جهان 17,17,17,18,18,18,7,7
جهانی 16,16,17,19
جوائز 17
جواد 3
جوایز 17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
جوایزی 17,17
جورج 17
جویی 19
حاصل 12,17,17,7
حاضر 17
حالا 17
حالی 17,18
حالیکه 17
حتمی 16
حتّی 12
حداقل 18,18
حداکثر 12,12,17,18
حدود 17,18,7
حروف 19
حرکات 19
حرکت 18,19,19,19,7
حساب 12,12,17,17,17,17,17,18,18,18,18,18,19,19,19,19,19,4,4
حسگر 19,19
حسگرهای 19
حضور 4
حقوق 12,18,2,4
حقوقی 17
حقیقت 17
حلالیت 11
حلقه 19
حمایت 17
حوزه 17,18,4
حوزهٔ 4
حکمفرما 17
حکومت 17
حیات 3
خارج 18,18
خارجی 7
خاصی 18,7
خاطر 17,17,17,17,17
خالی 17
خاموش 19,19,19
خانه 7
خانواده 17
خانگی 3
خاورمیانه 18
خدمات 12,18,18,18
خدماتی 12
خدمت 17,17
خدمتی 17
خرابی 18
خروجی 19,19
خرید 17,18,18,7
خریدارانی 7
خریداری 17
خصوص 12,17,18,19,4
خصوصی 17
خطای 19
خلاف 12,17
خنجراب 18
خواسته 17,17,7
خوان 18,18
خواندن 17,17,18,18
خوانده 3
خواهد 17
خواهند 19
خوبی 7,7,7
خودداری 17,17,7,7
خودرو 18
خودروی 4
خودپرداز 18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
خودکار 18,18,18,18,19,19,19,19,3
خودکارسازی 19
خودکارِ 18
خوراک 3,3
خورشیدی 18
خوشحالی 7
خونریزی 17
خیانت 7
خیریه 7,7,7
داخل 18,19
داخلی 18
دادند 17
داده 1,11,12,17,17,17,17,17,18,18,19,19,4,7
دارای 1,1,1,11,11,12,12,12,16,17,18,18,19,19,19,2,3,3,4
دارایی 17
دارد 1,12,12,17,17,17,18,18,18,19,19,4,4
دارند 11,12,17,17,18,18,18
دارندگان 18
داستان 17
داشت 12,17,19,7,7
داشتند 17
داشته 17,17,18,18,18,3,4
دانش 17,17,19
دانشجوی 7
دانشجویان 2,2
دانشمند 17
دانشمندان 17,17,17,4
دانشنامهٔ 1,11,12,12,17,17,18,18,19,19,2,4,4
دانشگاه 17,17
دانشگاهی 17,7
داوری 17
دخالت 19,7
درآمد 7
دربارهٔ 11,12,16,16,17,17,17,17,17,17,18,19,3,4,7,7,7
درجه 17,18,18
درحالی 7
درحالیکه 17
درخواست 17,7
درست 3
درستی 12,4,7
درصد 17,17,19,7
درنظرگرفته 4
درهم 17
دروغ 17
درون 18
درگاه 7
درگذشت 17,17,17,17,17
درگذشتند 17
درگذشته 17,17,17,17
درگیر 17,2
درگیری 19
دریافت 17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,7
دریافتی 18
دریل 19
دزدی 7
دسامبر 17,17,18,7
دسترس 1,11,16,17,18,18,3
دسترسی 18,18,18,18,19
دستمزد 2,2
دسته 17,7
دستور 17
دستکاری 18
دستگاه 18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19
دستگاههای 18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
دستگاهک 3
دستگاهی 18
دستی 19
دستیابی 2
دشوار 19
دعوت 12,17,17,18,19,4,7
دعوی 17
دفاع 7
دفتر 7
دفعات 17
دقیق 17,19
دلار 17,17,7,7,7
دلاری 7,7
دلخواه 18
دلیل 12,12,17,17,17,17,17,17,17,17,17,17,19,19,19,7,7
دماهای 18
دموکرات 7
دنبال 12
دهند 18,18
دهندگان 18,18
دوباره 19
دوره 1,7
دورهٔ 2,7
دوست 7
دوستان 7
دوشنبه 17
دولت 12,17,17
دونالد 17
دونالسون 2
دیجیتال 19,19
دیدگاه 11,4
دیرین 1
دیزنی 7
دیسپنسر 18
دیکشنری 3
دیگر 1,11,12,12,12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,19,19,19,2,4,4,7,7,7,7
دیگران 7
دیگری 18,7
ذخیره 18,18
ذرات 11
رئیس 17
رابط 18,7,7
رابطهٔ 7,7,7
راحت 19,7
راحتی 19
رادولف 17
راندمان 19
راهنما 2
راگنار 17
رایانه 18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19
رایج 18
ربات 19
ردینگتون 7
رسانایی 17,17,17
رساند 17
رساندن 18,18
رسانه 4
رسماً 17
رسمی 17,17,17,7
رسمیت 17,17
رسوایی 17,17
رسید 17,18,18
رشته 17,17,17,17,17
رشتهٔ 4
رفته 3
رقیب 7
رمزگذاری 18,19
روابط 17
روزنامه 17,17
روستایی 18
روشن 17,19,19,19
روشی 19
روند 17,17,17,17
رونمایی 7
روکش 17
رویداد 17
رویدادهای 12,17,18,19,4
رویکرد 7
ریاضی 17,17,17,17
ریاضیات 17,17,17,17,17,17,17
ریاضیدانان 17
ریدر 18,18
ریزی 18
ریمو 17
زبان 11,11,12,16,16,18,18,18,18,19,19,19,3,3,3
زبانهای 18,18
زبانی 18
زمان 17,17,17,18,18,18,18,19,4,7
زمانی 19,4,7,7
زمینه 17,17,17,17,17,17,17,17,17,17
زمینهٔ 7,7
زنان 17,17
زنده 17,17,4,7
زندگی 17,17,7
زودتر 17,7
زودی 17
زیاد 2
زیادی 17,2,7
زیبایی 18
زیرا 17,19
سابق 17,17
سابقاً 17
سابقه 18
ساخت 12,17,17,17,18,19,19,19,19,19,4,7
ساختار 17,17
ساختمان 18,3
ساختن 19,2
ساختند 7
ساخته 17,18,18,7
ساده 19
سادگی 18
سازمان 1,11,16,17,17,17,17,18,19,3
سازمانهای 17
سازمانی 12,12
سازی 18,19,19,19
ساعات 18
ساعت 1,11,16,17,18,19,2,2,3
ساقط 17
سالانه 17,17
سالم 7
ساله 12,17
سالهای 17,17
سالگرد 17,17,18
سالگی 17
سالی 17
سامانه 1,12,12,12,17,17,17,18,18,18,19,19,19,4,4,4
سانتیگراد 18
سایت 3,3
سایر 17,17,17,18,19,7
ستون 3
ستونی 19
سراسر 17,18
سرانجام 17,17
سرانه 18
سرتاسر 4
سرطان 7
سرطانش 7
سرعت 19,19
سرمایه 17,17,19
سرواژهٔ 3
سرورهای 18
سریع 19
سطوح 12,12,12,12
سفارشی 18
سلطنتی 17,17,17,17
سنتی 19,19
سنسور 18,18
سنسورهای 18
سنگین 18
سهام 7
سهولت 7,7
سوئد 17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
سوئدی 17
سوئیس 18,18
سوئیچ 18
سوخت 16
سودمندی 12
سودِ 12
سوراخ 19
سولمان 17
سپتامبر 17,7
سیاست 7
سیاستمداران 7
سیستم 18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,2
سیستمهای 18
سیصدمین 17
سیما 3
سیگنال 7
شاخص 18,18
شارژی 17
شاغل 7
شامل 17,17,18,18,18,18,19,19,4
شانسی 7
شاید 2
شباهت 17
شبکه 18,18,18,18,18,18,19,19
شبیه 18
شتاب 18
شخصی 17,17,17,17,17,17,17,18,18,18,18,18
شخصیتی 17
شدند 17
شرایط 17,19,19
شرایطِ 12
شروع 18,18,19
شرکت 18,19,7,7,7,7,7,7,7,7,7,7,7,7
شریک 7
شریکِ 7
شعار 7,7
شعبات 18
شعبه 18,18,18
شمار 17,17
شمارش 18
شمارشگر 18
شماره 1,18
شمال 18,18
شناختن 17
شناخته 17,17,18,7
شناسایی 18,18
شناسی 18
شهرداری 17
شوند 17,18,19
شونده 19
شوید 12,12,17,17,18,18,19,19,4,4
شکایت 7,7
شکستم 7
شیشهٔ 7
شیمی 17,17,17,17,17,17,17,17,17
شیمیدان 17
صادر 18,18
صحبت 17
صحنه 17
صدای 18
صرافی 18
صرفنظر 17
صفجه 11,12,17,18,19,4
صفحات 3,7
صفحه 1,11,11,11,11,12,12,12,12,16,17,17,17,17,17,18,18,18,18,18,18,18,18,18,19,19,19,19,3,4,4,4
صفحهٔ 11,12,12,12,17,17,17,18,18,18,19,19,19,4,4,7
صلاحیت 17,17,17
صلیب 17
صنایع 12,17,19
صنعت 18,18,19,19
صنعتی 19,19,3,3
صوتی 3
صورت 12,17,17,17,17,17,18,19,19,19,19,19,19,4
ضربه 18
ضرورت 19
ضعیف 7
ضوابط 12
طراحی 18,19,19,7
طرفداران 7
طریق 18,19,19,19,19,19
طلای 17
طلایی 18
طولانی 17,7
عابربانک 18,18,18,18,18,18
عالی 17
عامل 18,18,18,18,18,18,18,18
عامیانه 18
عبارت 12,12,17,17,18,19,19,4
عبارتند 17,19
عددی 19,19,19,19,19,19,19
عرصه 17
عرضه 7
عصبانی 7
عضویت 17
علاقه 18
علاقهٔ 7,7
علامتی 1,11,16,17,18,3
علاوه 19
علمی 16,17,17,17,17,17,17,17,17,7
علنی 17
علوم 17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
علیرضا 1
علیه 7
عمدتاً 17
عمده 18
عمرشان 7
عملاً 12
عملکرد 18,18,19,7
عملکردی 7
عملی 17,17
عملیات 19,19,19,19,19
عموماً 19
عمومی 18,18
عنصر 12
عنوان 17,17,18,18,18,18,19
عهده 17,17
عهدهٔ 17
عواقب 18
عوامل 19
عیار 17,17
غالباً 18
غدهٔ 7
غربی 17
غلتک 19
غیرانتفاعی 1,11,16,17,18,3
غیرمجاز 7
غیرمستقیم 7
فارسی 3
فاصله 17,18
فاقد 19
فایده 17
فرآیندهایی 19
فرانس 17
فرانسوی 17,17
فرانکویس 17
فراهم 18,18,18,18,18,18
فراوانی 17,17,17,19,19
فرایند 19,19,19,19,19,4
فرایندهای 19,19,19
فرایندی 4
فردا 7
فردی 12,12,12
فرستاده 17
فرستنده 4,4,4
فرضیه 17
فرهنگ 3
فرهنگستان 17,17,17
فرهنگی 17,17
فروردین 17
فروش 18,19,7,7
فروشندگان 18
فرکانس 3
فزاینده 18
فشار 17,7
فصلنامه 1
فضای 19,19
فعال 17,18
فعالیت 17,17,7
فلزی 19
فلوید 7
فناوری 17,17,17,19,19,3,3,3
فهرست 17,17,17,17,17
فوریه 17,17
فیزیولوژی 17,17,17,17,17,17,17,17,17,17
فیزیک 17,17,17,17,17,17,17,17,17,17,17
فیزیکدان 17
فیلم 11,17,18,7
فیکسچر 19
قابل 11,11,12,12,17,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,4,4,4,7,7
قابلیت 16,18,18,18
قادر 18,18,18,18,19
قانون 17
قانونی 7
قبلاً 17,18
قبلی 17,19
قبول 19,7
قدرت 19
قدرتمند 19
قدرتی 7
قدیمی 18,18
قرار 17,17,17,18,18,18,18,18,18,3
قراردادن 18
قرمز 7,7
قریب 18
قسمت 17,17,17,17,17,19
قطعات 18,19,19,19,19,19,19
قطعه 19,19,19
قهرمانان 17
قوانین 17
قوهٔ 7
قیمت 18,18,19,7
لایق 17
لایه 18
لحاظ 4
لطفا 18
لطفاً 11,11,12,12,18,4
لفظی 7
لفلر 17
لمسی 18
لندن 18
لهستانی 17
لودویگ 17
لوله 16,16
لوکاس 7
لوییس 17
لیست 17,17
لیلیِکوئیست 17
لینوکس 18,18,18,18
مؤثر 12,12
مؤسساتی 17
مؤسسه 17,17,17,17,17,18
مؤسسین 7,7
مادر 11
مادهٔ 12
مارس 11
ماسبق 2
ماشین 11,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
ماشینی 18
مالی 17,17,18,18,18,18,18,7,7
مانترای 18
ماندل 17
مانند 17,18,18,18,18,18,18,19,19,19,19,4,7
ماهاتما 17
ماهر 19
ماژول 18,18,18,18,18
ماژولهای 18,18,18,18
ماکیارینی 17
مایع 19
مایکروسافت 7,7
مایکل 17,7,7
مباحثه 2
مبارزه 7
مبتلا 7
مبتنی 18,19,7
مبلغ 17,17,17,17,17,17,17,7
مبلغی 17,17
مبنای 7
مبهوت 17
متحده 16,19,4,7,7,7
متحرک 3
مترجم 18
مترو 18
متری 18
متصل 1,12,17,18,18,19,4
متعدد 19
متعلق 1,11,16,17,18,3
متعهد 2
متفاوت 17,19
متفاوتی 18,19
متقابل 11,11
متقاضیان 18
متقاعد 17
متهم 17,17
متوجه 7
متوسط 18,2
مثابهٔ 2
مثال 18,19
مجاز 17
مجازی 19,3
مجامع 17
مجبور 17
مجتمع 18,19
مجدد 18,19,19
مجدداً 7,7
مجریان 17,17
مجزا 17
مجلهٔ 7
مجمع 17,17
مجموع 17
محاسبات 18
محاسباتی 18
محافظت 17
محبوبیت 19,19
محتوا 18
محتوای 11,11,12,17,18,19,2,4
محتویات 11,12,12,17,18,19,4,4
محدود 17,17,18
محدودیت 17
محروم 17
محصول 19,19,7,7,7
محصولات 19,19,19,7,7,7
محفظه 18,18,18
محقق 17
محله 18
محلول 11
محلی 16,16,17,17,17,4
محوطه 18
محیط 18,18,3
مخالف 17
مخالفت 17
مختار 17
مخترع 17,7
مختلف 12,18,18,18,19,19,19,19,19,19,7
مختلفی 12
مخزن 1,12,17,18,19,4
مخصوص 17,17,17,19
مخصوصاً 19
مخصوصی 3
مداخله 7
مدارهای 18
مدال 17,17,17
مداوم 18,19
مدرس 17,2,2,2
مدرن 19
مدرک 7
مدیر 3
مدیران 7
مدیرعامل 7,7,7,7
مدیره 17
مدیرهٔ 7
مدیریت 12,18,7
مذکور 17,17,17,17,17
مراسم 17,17,17,17,17,17
مراکز 18
مربوط 12,17,17,17,17,17,18,19,7,7
مرتبط 17,18,18
مرحله 19,2,2,2
مردم 17
مردی 17
مرسوم 18
مرور 18
مرورگر 7
مرکز 18,19
مرکزی 17,17,17,17,17,18,19,19
مرگش 17,17
مرگشان 17
مزاحم 7
مزایای 18,19
مسئله 17,17,17,7,7
مسئول 17,7
مسائل 17
مساوی 17
مستقل 17,18
مستقیم 17,18,19,19,19,19
مستقیماً 17,19
مستندات 17
مسلمان 17
مسلمانان 17
مسنجر 3
مسیحیان 17
مسیرهای 19
مشابه 16,16,17,17,19,4
مشاغل 12,18
مشاهده 11,12,16,16,17,18,3
مشاوران 17
مشترک 17,18
مشترکات 4
مشتری 18,18,18,18,18,18,18,18,18,18
مشتریان 18,18,18,18
مشخص 17,17
مشهور 17,17
مشوش 17
مشکل 2,7,7,7
مصاحبه 7
مصنوعی 19
مصوب 3
مطالب 11,12,18,3
مطالعاتی 4
مطالعه 17
مطرح 12
مطلب 17
مطمئن 17
معادل 17
معاملات 18,18,18
معامله 18,18,7
معانی 4
